PERSPECTIVE_SEXUALLY_EXPLICIT,PERSPECTIVE_FLIRTATION,PERSPECTIVE_TOXICITY,PERSPECTIVE_THREAT,PERSPECTIVE_INSULT,PERSPECTIVE_IDENTITY_ATTACK,PERSPECTIVE_INFLAMMATORY,PERSPECTIVE_PROFANITY,video_id
0.030779166,0.28823853,0.017909339,0.021803986,0.034504954,0.01601123,0.0766043,0.013920874,YVOjkZGltqw
0.0402839,0.28842428,0.22510603,0.11418086,0.08937478,0.13439576,0.26491436,0.044562947,QGaW3MS4yF8
0.094730064,0.51061714,0.13835071,0.24656406,0.18370648,0.09547597,0.7072802,0.09574341,U3_vR7xTGWI
0.033134267,0.38342166,0.13476147,0.34599072,0.0808198,0.11101253,0.15981048,0.040881988,KjMEE6ruadE
0.05918347,0.3490742,0.12695669,0.2061816,0.028664576,0.0659493,0.3953576,0.0360546,j4WrXRqYuoQ
0.10742956,0.17969033,0.3983115,0.113004945,0.1761159,0.1016783,0.26383018,0.15657961,u9ikMo11TBA
0.040463965,0.17751317,0.056931525,0.052736,0.01747013,0.028986514,0.227116,0.025791131,DF2BV_opxIk
0.17337832,0.54761136,0.2712817,0.6711799,0.46099225,0.39527333,0.04717724,0.31215292,B4sp6etg-II
0.058512874,0.38911986,0.18450552,0.14923,0.096169785,0.05649973,0.463563,0.07871312,ydrT8JNiMNE
0.04475711,0.20776823,0.08447654,0.055629514,0.017199699,0.023915382,0.14111575,0.0284122,P-NLf0fpnq4
0.04919163,0.31934503,0.1609341,0.13446379,0.19287848,0.111673616,0.28277332,0.08564223,NdThxchhW_0
0.11745125,0.30872005,0.16035037,0.2097465,0.08954399,0.1255501,0.5940158,0.08491684,unX9umglw7M
0.12646136,0.3466188,0.33600304,0.15434133,0.3021316,0.15232193,0.34385872,0.21724625,LB6JfBMe05E
0.08728603,0.24553467,0.13017663,0.37887225,0.06942198,0.08226759,0.21897995,0.09918617,XbMp_8trXWU
0.11664646,0.486437,0.056931525,0.24578896,0.08223494,0.07905417,0.27444783,0.053922195,wPC4mKXcPus
0.036232624,0.24874876,0.06771983,0.0671528,0.07540367,0.06672418,0.2924407,0.043555558,eBukXaaeWUY
