PERSPECTIVE_IDENTITY_ATTACK,PERSPECTIVE_INFLAMMATORY,PERSPECTIVE_TOXICITY,PERSPECTIVE_INSULT,PERSPECTIVE_PROFANITY,PERSPECTIVE_SEXUALLY_EXPLICIT,PERSPECTIVE_THREAT,PERSPECTIVE_FLIRTATION,video_id
0.13697258,0.04323645,0.047495455,0.12384368,0.24437293,0.37940755,0.29215688,0.5825428,JS0agRI0f_g
0.13646372,0.06312477,0.017284594,0.13460152,0.119638175,0.11519523,0.14723057,0.27291524,F-GGl8s11yE
0.5392589,0.010808945,0.01721518,0.20588253,0.23164104,0.14685664,0.36345905,0.36283568,U_EztSg93Zo
0.15672079,0.016992286,0.06372416,0.15002033,0.11533488,0.08929845,0.44820726,0.31877628,bKwa0_NAjtA
0.040884294,0.012600785,0.068918526,0.042265754,0.059996143,0.056387857,0.06155151,0.20604216,LNXsvqNtVkw
0.019249355,0.009816934,0.07730943,0.020967491,0.02361368,0.027068451,0.06397016,0.24828547,jae2wpa_QUg
0.07633021,0.058952454,0.0036964044,0.04405969,0.06344112,0.08829155,0.112559974,0.33180872,_d9djWPY_e0
0.14639498,0.1315788,0.036679696,0.13021581,0.15950589,0.1533845,0.26739088,0.39329717,FpU7uvPtvd8
0.065618545,0.051012605,0.09494796,0.049240947,0.0703697,0.06788681,0.101798266,0.22321066,OfKSPbBRVvU
0.117554836,0.052973986,0.12695669,0.07113582,0.07652866,0.09306531,0.17383562,0.46859205,LjEgQgLJo6Y
0.56209797,0.028852992,0.051737156,0.2621949,0.30691653,0.19410524,0.5133558,0.47280475,9P_TSwJBmpU
0.06307335,0.004524472,0.0022213135,0.061541315,0.02789517,0.028934324,0.24105313,0.43887284,2i28Hy9qGmA
0.02751392,0.124300614,0.11407687,0.039201483,0.02752837,0.036576424,0.073787525,0.32030365,MQkiDPRStwA
0.1073349,0.029496063,0.027580723,0.10585163,0.09817647,0.09174347,0.1275745,0.28123492,qOaL-BZ13f0
0.09135911,0.09606436,0.021102477,0.08863484,0.08277163,0.14098808,0.27494147,0.35274237,x_HCeohW3AA
0.025634533,0.07817315,0.0057615316,0.027991869,0.017902367,0.029959222,0.06984059,0.40837893,lRpwtaVWQeA
0.063362874,0.05350192,0.025863936,0.050211977,0.070939995,0.08224325,0.12922482,0.23233281,TscAQgjsjdk
0.113222174,0.1010474,0.028954152,0.07270782,0.04080609,0.034702063,0.16478233,0.400823,oAOO6BaGHW0
0.13145971,0.027810263,0.103539884,0.0904768,0.080863886,0.05573435,0.17676973,0.2595933,vLpb8l-Pjj4
0.06950792,0.18070373,0.1414913,0.045876864,0.06852017,0.05928639,0.099565476,0.378466,CbzLJm2p7dI
0.08042102,0.13538809,0.013952625,0.058461934,0.04703854,0.041597664,0.21222715,0.3645957,gRD6CmmYhlA
0.60600996,0.105369955,0.19789414,0.2664763,0.2968818,0.16221902,0.38368136,0.3458031,w2N5NoPnK8Q
0.1071152,0.019530617,0.0020564504,0.055283356,0.15390453,0.17586364,0.3663914,0.3658003,-kSQxaEXRBo
0.12578946,0.013213398,0.012217224,0.106082916,0.06626971,0.052425742,0.3072113,0.3768876,6FjwIAtN4tU
0.07644511,0.11611542,0.022945397,0.07600236,0.09070877,0.07624632,0.10785074,0.22061618,l_DmFcFTDnY
0.061417818,0.10612953,0.03616466,0.04378708,0.060848564,0.089404166,0.11114605,0.25687078,T7lQ_uetN0k
0.091662966,0.06675269,0.1710401,0.08815643,0.08256241,0.07003441,0.2356433,0.32793885,f1OO9snfRsY
0.12894715,0.32599252,0.24991328,0.26332355,0.615872,0.39350954,0.2088583,0.41143027,CBpA61Fr_YM
0.12640792,0.022422016,0.0253489,0.13982566,0.115192786,0.13797818,0.3006145,0.38690042,yA86JV1Nzko
0.04540292,0.02279216,0.010134743,0.02109375,0.017418731,0.057748746,0.1555146,0.30643246,yCOV17ugPuU
0.15764937,0.06807518,0.048868883,0.05435329,0.07429749,0.10316943,0.11411457,0.4238898,R8bNv2d_q3c
0.056915056,0.111687325,0.059328925,0.04324591,0.06040218,0.06664228,0.09627615,0.20621131,GFJAZNVNGAQ
0.054900326,0.13534121,0.09924392,0.031894073,0.053754967,0.075697154,0.08695713,0.2374018,70k4mTqT_oc
0.13040794,0.021397823,0.09065199,0.09994618,0.10010822,0.082821816,0.5436607,0.40693453,LnqyqwYpBbY
0.18815294,0.036868807,0.05093802,0.13181873,0.15489009,0.18067238,0.19205154,0.32977393,V6fgZduKYno
0.08225509,0.0047842404,0.03856816,0.0467724,0.121274024,0.16935007,0.24266824,0.47091368,1H8Epk6qpdY
0.17481068,0.085131966,0.019297661,0.11846225,0.16944896,0.16158596,0.26690942,0.31754178,JmlGLgvAVhc
0.09604116,0.099464506,0.044405237,0.07063838,0.047314703,0.042906348,0.14168411,0.34115916,eGtNs1nmI14
0.6440157,0.11033135,0.061726328,0.31242716,0.37280723,0.326808,0.5811853,0.50250274,V4ynAA7ohoo
0.09643971,0.19140773,0.087430015,0.078768894,0.06812725,0.07113441,0.084893726,0.39176023,ASJzmOHA99U
