PERSPECTIVE_TOXICITY,PERSPECTIVE_PROFANITY,PERSPECTIVE_INSULT,PERSPECTIVE_FLIRTATION,PERSPECTIVE_SEXUALLY_EXPLICIT,PERSPECTIVE_IDENTITY_ATTACK,PERSPECTIVE_INFLAMMATORY,PERSPECTIVE_THREAT,video_id
0.17173064,0.11010192,0.17123008,0.4686623,0.1885735,0.25000823,0.08915871,0.39056927,DPZyvGNyBl0
0.016521018,0.051183555,0.06361789,0.23003188,0.035753958,0.08386285,0.19293907,0.33784333,Pq5sxV9tRB4
0.19634613,0.22510077,0.3666666,0.42529258,0.10151974,0.69074607,0.3407797,0.8601733,DenKUHx1S0E
0.090114996,0.14309202,0.18001969,0.48952898,0.13920143,0.36297396,0.0299464,0.6064128,D9Lo4gdUBD8
0.020269485,0.02996522,0.05575796,0.26611575,0.03443658,0.1345845,0.30415234,0.19671378,Grzs5C429sI
0.017909339,0.019192833,0.038728423,0.21577333,0.028147882,0.027280997,0.18581529,0.16589716,x7iC8AwOIhY
0.09333697,0.124691874,0.12109379,0.30963355,0.08238136,0.12940931,0.21831092,0.6601162,ZBwgg5Sy_84
0.046122026,0.079696946,0.06590604,0.32063654,0.055218883,0.09983701,0.18080328,0.45250112,B3pqMHJ6wSo
0.022773718,0.06976026,0.07902975,0.3087256,0.042341646,0.08674814,0.6498283,0.23507218,MrNHNrAmJd8
0.013327881,0.052977882,0.042715,0.34152293,0.037448153,0.06508569,0.41343683,0.40876266,WcCLRKaPstk
0.011592479,0.038314547,0.04661137,0.1941974,0.027775967,0.044493552,0.20005055,0.27191976,NdSlbvVwAOk
0.040284947,0.11851896,0.08679727,0.29674134,0.087711066,0.11941953,0.25697514,0.5570178,JCYT5ASu2Z0
0.04406188,0.11095902,0.14943947,0.24392109,0.061455596,0.20556955,0.12236822,0.52689934,zWGBlJFBAys
0.0471521,0.059472043,0.07388876,0.28842777,0.06037667,0.17568555,0.22651628,0.41565484,Z-F3FgfbBEY
0.025692256,0.113238975,0.08133599,0.23071821,0.08480408,0.13591185,0.17310248,0.5286159,n5mINmshSso
0.025005542,0.045023467,0.042845383,0.16195981,0.036057528,0.05946497,0.17985156,0.45258436,cgAwmNdXcks
0.049898956,0.07080123,0.08598873,0.29578117,0.037655473,0.17088419,0.17069063,0.4878069,e1-YgKrYgBE
0.19936113,0.28608924,0.26032752,0.5003247,0.39634985,0.37353367,0.0097555695,0.3380145,sgri5w6mYTY
0.017284594,0.039347738,0.039554577,0.2765139,0.025914097,0.029165158,0.25215787,0.3046898,OcQeYDpX0s4
0.0495556,0.047913603,0.11439028,0.22213784,0.029462347,0.09535377,0.13498302,0.49450967,Hecr1SwGAdk
0.019297661,0.029044982,0.03457707,0.24600662,0.03691298,0.039942637,0.17254362,0.23634808,EJtaI3DwnA0
0.011592479,0.031175124,0.058837622,0.21055382,0.025034782,0.09338322,0.1833174,0.20289768,T7GABP-noAE
0.27856,0.14156134,0.23210746,0.2614191,0.07130681,0.39247772,0.18560566,0.35237736,LYcnTS8JW4Y
0.15130237,0.015340891,0.03101699,0.24474122,0.013800742,0.027809113,0.5103258,0.04820044,Zd5JxR67IUU
0.057331093,0.18823645,0.20367217,0.33555317,0.124373354,0.4102229,0.2261277,0.8488348,Q7dXflJSXbk
0.0136749605,0.031344034,0.030039156,0.2100938,0.03451479,0.041274678,0.14889802,0.22611955,_OgSMPmj09M
0.036851373,0.10144514,0.24665484,0.23178266,0.038631197,0.24844567,0.2687806,0.7162176,2Ce2HLR3aaE
0.13251819,0.31408444,0.20381732,0.42848358,0.50768,0.27953535,0.30162218,0.6327557,JL19_UiTJhQ
0.13655609,0.035336427,0.02896395,0.32847515,0.0492245,0.032788493,0.062089153,0.15187113,2IgQG70QYac
0.023117077,0.05100973,0.052425124,0.21414164,0.038203277,0.060987834,0.36052448,0.36194602,ZY4sSY1UVNw
0.00860759,0.17142977,0.2238193,0.3168034,0.07116291,0.45139563,0.19260524,0.76977557,ngtiFX8qxgg
0.016451603,0.040244088,0.06412151,0.1810337,0.026489602,0.09471355,0.38334316,0.26417413,fTsFPzUSe7w
0.019297661,0.056745183,0.04722186,0.24538408,0.060413674,0.13486454,0.11857131,0.3957736,6I_Gdgv4JCw
0.040284947,0.11851896,0.08679727,0.29674134,0.087711066,0.11941953,0.25697514,0.5570178,nJzX4V1gIOc
0.1019289,0.049164556,0.054847643,0.27079883,0.030247508,0.08159099,0.39516684,0.1828026,CAvL4tqEP8Q
0.009440582,0.016412633,0.018944055,0.23038454,0.017082445,0.029551776,0.18002705,0.07660341,eQvvIRyNGSk
0.04406188,0.06247751,0.1385257,0.20977937,0.032171283,0.076908395,0.15454368,0.24525544,LC03govl2vE
0.022945397,0.07006293,0.054165304,0.1824036,0.037342288,0.080211416,0.18745811,0.32508296,yhYBM0jcsWU
0.027752401,0.035321806,0.030262824,0.26298314,0.037024867,0.035958584,0.28480425,0.14913777,IHnxT6OJmjs
0.060527626,0.04405393,0.066201806,0.25953615,0.026958156,0.10825094,0.095581435,0.2744056,sDxL2XwbLi8
0.017076347,0.050679058,0.06227701,0.23427492,0.03552781,0.072853126,0.19644864,0.317319,CvrMU2DzmO4
0.02193547,0.057577964,0.070953816,0.22961746,0.05913548,0.081510596,0.10870697,0.34356067,nJ2xpBPwGI8
0.014299706,0.041347966,0.054111216,0.32491973,0.037756395,0.09389614,0.26849735,0.25018355,1lj6KFXeKHc
0.064523295,0.05689526,0.102909446,0.20744923,0.025132952,0.20827979,0.20164503,0.13774976,UAhmPkklvig
0.1423886,0.09878606,0.078694835,0.4687691,0.077767104,0.07181415,0.14532328,0.25316694,SLogFCLD9-4
0.034962907,0.08710775,0.115788445,0.238262,0.060013138,0.18514754,0.43943316,0.3961288,G8Nc4KErK4I
0.02397547,0.049297575,0.032447014,0.23683868,0.057946697,0.06827115,0.18028016,0.33316475,17ahHpGcFVc
0.14418322,0.14071414,0.22782099,0.38731167,0.14906147,0.12248635,0.13495557,0.53853923,if_pta3She8
0.01561861,0.027589569,0.027785717,0.18906471,0.02818357,0.035030488,0.10815348,0.21275435,wvvsNC9EZ7A
0.021796638,0.076221,0.064241834,0.25518036,0.056890786,0.1210017,0.2582083,0.38366848,eb28ei-vsiM
0.2088965,0.13970669,0.20741497,0.4199452,0.07185748,0.122365765,0.045246337,0.52057487,3nffRI3PW9o
0.022074303,0.067831464,0.09587349,0.21371414,0.038669165,0.12924439,0.21466228,0.48918372,94hDDNln914
0.016035106,0.018480258,0.023214921,0.21600369,0.020607626,0.037148613,0.13842522,0.09711449,yg9_ypQTIWs
0.028782474,0.08961405,0.115230024,0.33282292,0.1057411,0.17136022,0.1407222,0.50346005,MK6jVAcuHZo
0.14956708,0.11243919,0.1329445,0.30902362,0.094547205,0.14312938,0.17800866,0.3310152,gnKCKmftPZY
0.029125832,0.057027336,0.024627374,0.21006101,0.06444035,0.04802334,0.10161223,0.14660972,lHZemcusPKg
0.01492445,0.13099922,0.061201204,0.4525513,0.063553885,0.07468353,0.088916875,0.3163845,7B5cXbupyhA
0.031701013,0.028658064,0.03390118,0.30573234,0.04264374,0.033505347,0.09204279,0.2371963,SzHA_avtuX8
0.019019997,0.07747676,0.12669306,0.30018708,0.060423747,0.15859555,0.105897166,0.41425458,iGJE9zE2hrk
0.062125895,0.055355992,0.044529624,0.3306937,0.07057893,0.074072905,0.43872243,0.4352423,1AQQy1Jv9Qg
0.030155903,0.038442146,0.030961312,0.18374836,0.036056127,0.048066508,0.16985188,0.27588323,4a-rnOSM1sM
0.014091457,0.038397,0.034580644,0.24928616,0.038492374,0.046490274,0.08521641,0.18391182,WwWM51wQ6tk
0.048868883,0.031455606,0.039563943,0.21698754,0.025039667,0.038954686,0.3627188,0.26735726,rstgCBTsNhI
0.0090240855,0.022841983,0.022762122,0.2984823,0.036502253,0.037111543,0.06222487,0.25879848,cPuYONMsfgY
0.018742332,0.08069151,0.13371274,0.30136353,0.04565062,0.23376425,0.24037164,0.3583102,ePGN7TiebZc
0.016243355,0.03289827,0.049422618,0.2884781,0.028979428,0.042291682,0.25292817,0.30921137,V6bXfQwG-88
0.024147147,0.05804882,0.032337938,0.16785352,0.039950363,0.07134876,0.18745811,0.37816584,aFUhUBQr8o4
0.014507953,0.03437772,0.044699825,0.32435265,0.02615154,0.11346955,0.19587463,0.2751644,o-aCPT32qNQ
0.0334178,0.09188846,0.06949277,0.3303693,0.075798854,0.07048445,0.19310626,0.39208075,w2MMFvnwd1o
