PERSPECTIVE_THREAT,PERSPECTIVE_INFLAMMATORY,PERSPECTIVE_SEXUALLY_EXPLICIT,PERSPECTIVE_IDENTITY_ATTACK,PERSPECTIVE_TOXICITY,PERSPECTIVE_PROFANITY,PERSPECTIVE_FLIRTATION,PERSPECTIVE_INSULT,video_id
0.33557543,0.13898769,0.567515,0.2625108,0.29855597,0.69309914,0.456323,0.42812186,cHv78jmeYIQ
0.03414068,0.437255,0.17545341,0.020094132,0.1019289,0.033630736,0.24180406,0.027729334,7BlrLNE8lFs
0.24112861,0.16436628,0.26566565,0.31161252,0.025005542,0.3379066,0.37215465,0.29737383,xJYBWeT3yfE
0.22702564,0.1100215,0.14757212,0.2485769,0.046465382,0.23444195,0.28252342,0.17752546,PmRZMgqEWr8
0.09757559,0.13898768,0.19010848,0.066366784,0.012911384,0.10903265,0.27992168,0.08435555,wwjNJCKc-iE
0.30791232,0.0009811611,0.7407407,0.62350565,0.9320454,0.9604114,0.41218382,0.93234444,eLFTRAjbSzQ
0.23780614,0.2796591,0.2581236,0.11755519,0.16965903,0.10083462,0.5295986,0.1432371,0SMvXhVSXB0
0.108016245,0.26667723,0.23425925,0.07871654,0.09978092,0.11518387,0.37145126,0.10867964,gjAlxJrvqfc
0.009609344,0.43848643,0.09902249,0.001861905,0.010273575,0.0044588544,0.19292183,0.0052094366,p4I3bpJAsjk
0.19263317,0.08912589,0.39624658,0.25716862,0.019158829,0.31189373,0.5120558,0.30862823,VptZBGHNUx0
0.097575635,0.13898769,0.19010848,0.066366784,0.012911384,0.10903265,0.27992168,0.08435559,TqgnqizHzaw
0.06618239,0.08609041,0.12421091,0.038569886,0.08796701,0.054606743,0.41104814,0.06333137,ng9wfSPCfxY
0.400196,0.7079002,0.2062085,0.20623843,0.13924801,0.20517036,0.38979536,0.27325302,DLG17nAsPe4
0.18952234,0.04940607,0.19982909,0.106839694,0.355017,0.18012565,0.49632132,0.19620275,CtIYqkqN2Bg
0.17654169,0.13898769,0.20971519,0.10561961,0.015688026,0.12710613,0.30469522,0.09321964,wTEC319belg
0.10380033,0.14717397,0.1827763,0.07607671,0.039254878,0.10837063,0.37387112,0.13096061,ZuJqPtPjD5c
0.07972646,0.0982586,0.13845156,0.034663036,0.0168681,0.064479284,0.29793656,0.043434795,nnPf7Uwm9zE
0.19168298,0.1354851,0.29332426,0.10911251,0.04680874,0.15317026,0.46039185,0.12824872,GIjIx9FUvxY
0.17678027,0.27539843,0.15950668,0.26578423,0.101391904,0.23008288,0.36303276,0.21983561,wVQsOrE3syY
0.1051117,0.06851791,0.1565679,0.04747177,0.034791227,0.064067215,0.47010514,0.05014885,dxgRPAc1DTQ
0.46152043,9.774344e-05,0.09411856,0.06932586,0.09978092,0.10625368,0.47297552,0.12274831,5550Qo-U8ew
0.015259256,0.083750635,0.076304786,0.0036155751,0.020130653,0.012179866,0.33172065,0.009895841,Swn_PAn-pHE
0.24278043,0.06933182,0.20877184,0.3147732,0.0041302545,0.30698738,0.3152587,0.28125903,D4UVYbgwD5w
0.09086033,0.1536983,0.14111748,0.05015765,0.015757442,0.06791467,0.38692695,0.07128206,t99lCiQY_wQ
0.3462298,0.10031621,0.13528384,0.114574835,0.08050597,0.09690321,0.42587045,0.10433945,msqFo2UGpj4
0.071542844,0.38169372,0.13690205,0.045980528,0.035306264,0.08525905,0.27412784,0.06116402,7cTLXT9F6-0
0.14834614,0.25146556,0.12448185,0.20426844,0.016035106,0.17665778,0.40385878,0.15932667,_lgINJxOolo
0.106055945,0.1560282,0.1715721,0.06496278,0.042001735,0.13255595,0.31631655,0.13619457,YVaH0_tdJQQ
0.1828712,0.1794413,0.20058271,0.091580175,0.0681194,0.13681173,0.33723915,0.12283722,zfeefIbqr-Q
0.029522315,0.05255404,0.08836283,0.008625376,0.020130653,0.021370728,0.3657369,0.014559893,SKUSnzVP8K8
0.26049644,0.19897759,0.13348083,0.2985953,0.1580154,0.20419958,0.248081,0.18216603,poLKyOYCQ3w
0.10388809,0.17583549,0.13717811,0.1186193,0.012217224,0.091470726,0.3179554,0.154188,qSaNq_CPB70
0.11180701,0.1513527,0.24765883,0.13540503,0.0056227,0.14002474,0.44533566,0.13495871,fJlGyxHDCNI
0.12752311,0.0015445994,0.19921885,0.30094507,0.084745035,0.22590822,0.32741597,0.2258611,Am6BhqjcgK8
