PERSPECTIVE_INFLAMMATORY,PERSPECTIVE_FLIRTATION,PERSPECTIVE_THREAT,PERSPECTIVE_TOXICITY,PERSPECTIVE_INSULT,PERSPECTIVE_SEXUALLY_EXPLICIT,PERSPECTIVE_PROFANITY,PERSPECTIVE_IDENTITY_ATTACK,video_id
0.2971992,0.2915638,0.06466335,0.082104236,0.021682216,0.044777937,0.027748227,0.02968538,3id_ky_Bh8g
0.022552207,0.4391083,0.5359745,0.029640866,0.12528282,0.10918386,0.14118405,0.24904647,LvcfIJg8ivE
0.21792346,0.17862245,0.089615785,0.030670939,0.032093037,0.043530557,0.038977362,0.03902313,g1Fu31Ge01o
0.18532957,0.26917168,0.2472612,0.0471521,0.024664804,0.07567534,0.044021353,0.034865066,1cbmTGS2cw8
0.06098132,0.16204262,0.07440822,0.06332459,0.09632968,0.03876201,0.05292945,0.11837401,_BRsVgmt5sw
0.025569536,0.32898536,0.28833443,0.07091636,0.15382884,0.1479025,0.2071684,0.15355514,aHRRBM4Mwzc
0.07994104,0.7784964,0.1533823,0.05613239,0.0510058,0.15921384,0.08053057,0.062296536,iBcLL9y3FSw
0.15391989,0.284933,0.4405277,0.119228795,0.2422564,0.12101864,0.16845034,0.1494656,MLgztbkq6Rk
0.318288,0.21916303,0.10050184,0.056931525,0.1719168,0.053233743,0.0842569,0.089028254,KAD2BrgUaZk
0.1946002,0.17279878,0.09623417,0.2945986,0.041974973,0.040911183,0.036767986,0.055877488,Dio7BKd06Ug
0.14747998,0.206699,0.10397952,0.0681194,0.07332221,0.07033755,0.06960265,0.06638654,mEpUqkwdMVw
0.18031749,0.21196745,0.09429971,0.048525527,0.090759255,0.038003627,0.061779823,0.13014978,hVqo2r1hFpw
0.37106743,0.23355845,0.0737995,0.042001735,0.031540275,0.07275152,0.051495384,0.036463633,IJaUULiKuTs
0.10298972,0.3641278,0.11602511,0.044748597,0.032621372,0.09290647,0.041313186,0.06710841,T52UIiUtozA
0.29925683,0.5212184,0.087691635,0.24991328,0.07217729,0.109522685,0.08260635,0.03373141,unrby04fIiI
0.0074347537,0.30167666,0.3426241,0.05613239,0.05682407,0.08513539,0.0877904,0.040763263,LXjSduaOXEk
0.17310335,0.6241545,0.23440707,0.052136723,0.045651793,0.05197491,0.037300073,0.09409439,HGjL_0QwQvI
0.2728406,0.17679113,0.17260036,0.05653196,0.0150719425,0.038248967,0.02610178,0.036967497,MnKN-Htz5Ns
0.20921814,0.18082677,0.07033041,0.02637897,0.027563239,0.039219785,0.032685656,0.032629874,KRAarF177Y4
0.28892273,0.33892947,0.115687,0.355017,0.101911046,0.114560656,0.1330741,0.06524295,5PYxkY0ON8I
0.37425283,0.35626966,0.14557031,0.23628397,0.45088494,0.11489239,0.18565856,0.15829422,LT0pQPLfJCo
0.0073084054,0.27462244,0.3941812,0.09602194,0.11009013,0.1338745,0.13025437,0.077944525,G9ufRhWNeB8
0.28399745,0.19689095,0.097875856,0.055732824,0.039822847,0.060235143,0.056204394,0.039745666,2nr587hSR7o
0.0031173,0.5127704,0.23698564,0.0027766419,0.029105894,0.09138736,0.0490268,0.043639213,QPGMbjLaf1M
0.067750126,0.16888405,0.04815853,0.046465382,0.015557004,0.02786742,0.018578786,0.022334807,Aj1URkTE-rA
0.2494002,0.22862831,0.11320857,0.053335425,0.033092625,0.047003172,0.038269915,0.05124183,vFotWl8vMfA
0.15154143,0.18899938,0.08043724,0.02929751,0.032672957,0.045508485,0.039868075,0.035796348,KB_RQACWFbg
0.08785749,0.38422978,0.23736954,0.06132676,0.06103654,0.048334725,0.038046088,0.061415024,6AFiaxdu3Y0
0.4371315,0.24907987,0.12534894,0.18253209,0.085113004,0.049561795,0.06465917,0.043475166,sX07sYtQcrw
0.20928754,0.2724488,0.08505719,0.06252546,0.03300401,0.069921866,0.04633219,0.040710878,qgMxHzKG6G0
0.18932016,0.2436785,0.10465015,0.11794081,0.09442096,0.09292546,0.0896229,0.0897748,7C_4XIWftHU
0.12613484,0.34498206,0.37243015,0.16551583,0.094104044,0.16015108,0.14456841,0.1083282,qHW0iMq-fhs
0.11781965,0.20837098,0.118831895,0.09978092,0.039517883,0.056464374,0.05584245,0.040176775,eiCJNeOrgGM
0.48493013,0.58424544,0.1257195,0.073313765,0.033651706,0.059703324,0.030190995,0.061929274,_psh_ggzcpk
0.08630976,0.2679386,0.082373254,0.0813051,0.046413157,0.05764192,0.04959232,0.04884322,MX3vHndP4YM
0.18529141,0.5798248,0.1573611,0.0813051,0.04807643,0.31243658,0.10857403,0.065811634,uV0B49jRyvE
0.06808126,0.21554025,0.08595124,0.04783881,0.065344945,0.06346659,0.054602604,0.09442819,Ngz2vfk2n1Q
0.2265895,0.2047562,0.1588137,0.04131502,0.07526286,0.09813033,0.10255901,0.08087775,b6FZdd0sbao
0.24717377,0.20716734,0.07843643,0.14059398,0.047117706,0.047569096,0.049278278,0.07128192,64IyK1PWv4g
0.11632012,0.40711352,0.47806495,0.017701091,0.10162614,0.19286905,0.20214917,0.16115181,cjD-NDrHSS4
0.09651757,0.2727043,0.076171026,0.044405237,0.042159576,0.03860015,0.026918923,0.044491034,-s3nRjBDsgw
0.16838549,0.91981745,0.31297198,0.22983712,0.34911197,0.5913015,0.4926656,0.29765025,CTCfcil6b7k
