PERSPECTIVE_IDENTITY_ATTACK,PERSPECTIVE_INFLAMMATORY,PERSPECTIVE_PROFANITY,PERSPECTIVE_TOXICITY,PERSPECTIVE_INSULT,PERSPECTIVE_SEXUALLY_EXPLICIT,PERSPECTIVE_THREAT,PERSPECTIVE_FLIRTATION,video_id
0.082674645,0.13426326,0.055816017,0.09655894,0.10081386,0.06566014,0.1629514,0.39771107,ddxAMqYuZzs
0.1509613,0.38057035,0.16608834,0.092262976,0.15338872,0.16969678,0.23376317,0.34931126,bXILzt-t58c
0.46109042,0.32959363,0.34170383,0.31540272,0.45226565,0.15862244,0.59456044,0.47222456,rMXW3GAnwFM
0.09066776,0.028095584,0.062920555,0.0813051,0.058234278,0.055044137,0.35070068,0.4080587,DjRm36Wh9Wg
0.0948765,0.57761884,0.13386683,0.39230084,0.43495402,0.025465688,0.07090528,0.17763162,XLcstE7NjSk
0.028239395,0.094346136,0.028041275,0.022351967,0.040724367,0.027231673,0.104187824,0.20029436,7zQtFzNb_tE
0.021261455,0.04030052,0.029375117,0.080905534,0.03557093,0.02563277,0.055703685,0.15809546,OTeoOhH-OxE
0.048446435,0.11442412,0.029715354,0.17380224,0.0692528,0.029038819,0.090416946,0.26117066,Pe-Tp4jidEM
0.13878265,0.023828328,0.110141285,0.055732824,0.1399679,0.07725571,0.33893135,0.4702151,I52hHSgN65U
0.016728012,0.10377102,0.012455404,0.016521018,0.026838448,0.014614759,0.03989607,0.15894239,F4z7WkUeyy0
0.08982768,0.0016263166,0.11482614,0.0334178,0.1280769,0.10939959,0.18830979,0.3694489,9_WiSCYCaaY
0.037365098,0.10952017,0.042685233,0.034962907,0.030474367,0.038636927,0.06731782,0.19151762,i93P_Cc7KbU
0.28099966,0.06163312,0.17116034,0.1539292,0.18325679,0.1720205,0.38739553,0.44550997,6glnO0xqV54
0.019934956,0.22821374,0.010038496,0.03221605,0.029516948,0.011998402,0.039148394,0.23230651,gjaVW27ZZYA
0.13073245,0.11578081,0.14769867,0.087430015,0.15536594,0.14217776,0.16661793,0.28984353,YNPJHYjvFok
0.11369779,0.13018906,0.103258125,0.1019289,0.091677874,0.1505985,0.23175377,0.30883917,J3I612RlTLs
0.045153376,0.21874173,0.07237712,0.13790205,0.040744342,0.06167929,0.24475852,0.36523324,Truzu8qgQP8
0.22302261,0.006673063,0.17512542,0.10300289,0.19041806,0.15976769,0.54441816,0.4429122,kwRRT5fuT70
0.013614008,0.074694894,0.019390086,0.10634898,0.009133017,0.044551432,0.035295796,0.37295833,cIsaLuMsY6g
0.025301319,0.11438914,0.022137992,0.036679696,0.02988884,0.023603277,0.07390825,0.20305605,jiivO8g4_Gc
0.031053126,0.035046253,0.037690543,0.031014297,0.03750734,0.049237505,0.071197286,0.29966766,5kp4NRlbkME
0.06238426,0.030531827,0.098762766,0.026894007,0.06011097,0.07314068,0.2790176,0.40741387,YGTF5YP5C9k
0.06370614,0.042606715,0.046960186,0.094410956,0.067020886,0.044888772,0.25040075,0.24419439,W9QVU3kLJro
0.012410574,0.043320138,0.014557093,0.015410362,0.0236558,0.014918693,0.04268659,0.1612736,-MAGSLvhU58
0.032617588,0.11992626,0.03290379,0.024490505,0.05598358,0.026040116,0.09332503,0.19928771,t1lsd_wvpcg
0.1376758,0.028347299,0.18019632,0.28923595,0.152858,0.1626316,0.6219574,0.41945666,Rf10OZB05IY
0.054933224,0.2620308,0.041366074,0.34466723,0.18056297,0.029999958,0.21875831,0.4355963,naptK5U22fk
0.05497878,0.09382832,0.05589179,0.15918289,0.031949934,0.08751986,0.17039105,0.37793073,ZlVp8JL2g20
0.12277314,0.12987475,0.06905766,0.12051678,0.1370408,0.07081525,0.17145976,0.40273464,jntG-TW3w2M
0.0043231463,0.03106369,0.0049556796,0.08850401,0.005372662,0.0073487367,0.036495022,0.20679206,vHThN3KWli8
0.021737969,0.14708829,0.019596893,0.105704986,0.02890566,0.028537432,0.17190368,0.30341697,GGCsBiloe5w
0.026366474,0.27785087,0.04567064,0.080905534,0.034273207,0.05953801,0.1518114,0.2488446,jzDzbcGQY44
0.019838588,0.04460351,0.019326832,0.05493369,0.015477559,0.028698882,0.16249616,0.28954473,sAZYmb9VY74
0.024025068,0.08658676,0.018461874,0.022351967,0.03561982,0.020565227,0.07057581,0.20088188,ZJjWHgwmw-I
0.040565092,0.08292938,0.056016717,0.052136723,0.049637325,0.048130184,0.16341826,0.25505912,aCf8IoH2UtA
0.02183747,0.044523377,0.06282797,0.079307266,0.037669063,0.026953872,0.052918665,0.15376107,dlreSdZkA-I
0.30067265,0.70836115,0.42396334,0.42234805,0.63467246,0.072850674,0.30336502,0.22430952,FyL7D7Dk_nA
0.06535015,0.11823821,0.05545882,0.0801064,0.05537964,0.058057282,0.14944509,0.47446385,j-jxLnX8ZYU
0.0331243,0.1749767,0.0319394,0.045778666,0.047495764,0.025518026,0.1067465,0.1875981,rg-dFy6npCk
0.1677128,0.081875205,0.14609732,0.034791227,0.20853496,0.13509092,0.2088067,0.35226992,juBUtNrXWec
0.02232657,0.096552595,0.021641595,0.03736641,0.034039192,0.01691929,0.062024586,0.15294522,oh2-LOfv_As
0.030278437,0.09557504,0.048505753,0.07251463,0.03646526,0.045989465,0.07226552,0.26656705,xacci5WEpqo
0.041871045,0.016115304,0.045168586,0.05413456,0.04168477,0.04416889,0.19745769,0.25139531,NeaYKgZBa9w
0.023792503,0.050030988,0.020525565,0.11665283,0.025832685,0.025059162,0.1344924,0.30497494,CW3xoO3mptI
0.07985978,0.1339869,0.09329864,0.028954152,0.094607316,0.0560657,0.20716187,0.25308833,NV05ZJ9v5C0
0.07171874,0.03650926,0.028994765,0.14373457,0.06605724,0.019832538,0.086104624,0.23203321,HipZ1E-M0Zk
0.035103202,0.0019099154,0.039901044,0.046465382,0.074579105,0.063913785,0.29343304,0.37957555,tBIGSwLR-tY
0.024289167,0.09231714,0.024021732,0.049898956,0.029249797,0.025064517,0.15393725,0.23441987,PweScsbFsXM
0.14427115,0.041475855,0.0982914,0.22952124,0.112090714,0.069645576,0.22670545,0.43304974,427zTM24sHU
0.009310901,0.14547455,0.0062124263,0.015410362,0.01701934,0.0087288935,0.030029926,0.17143509,59d21G7lI3I
0.09621379,0.075081795,0.066609904,0.038053125,0.06337386,0.059674334,0.3681169,0.28956896,swg66eVjZeU
0.020807335,0.09442289,0.01998767,0.027752401,0.02892408,0.022865541,0.062202528,0.16950531,Wjd_oUgeNVQ
0.016464125,0.025274184,0.01834226,0.04268845,0.045989953,0.034067314,0.058847364,0.258075,StWH_ToJcOU
0.16364641,0.27334037,0.14325124,0.31661135,0.14170551,0.087262176,0.19900924,0.2664374,FX8-i1x-Mlg
0.018691665,0.03891018,0.02215388,0.01999182,0.031483933,0.020035226,0.05249206,0.16589056,J6S_8OafuEk
0.03788514,0.16467728,0.02888551,0.016521018,0.04383695,0.015034522,0.14820407,0.20863222,e7Wn3zbc2J0
0.025303954,0.079228245,0.023996234,0.012564304,0.0377302,0.023739032,0.076402634,0.20573503,FCiSeGa3Cjk
0.040233713,0.13093537,0.025266847,0.04406188,0.04110932,0.029274207,0.074567325,0.22611715,aEL9-AdRo44
0.032383494,0.050728768,0.026460245,0.023117077,0.050573383,0.0123465415,0.057640586,0.15627338,hP3qbaOIWFo
0.05789075,0.075116724,0.052870143,0.010412407,0.04419722,0.07797682,0.10290403,0.29809463,CzJQLGj3mRo
0.024678817,0.11663083,0.0092678135,0.029469188,0.040383216,0.016574912,0.046923958,0.24703948,kRllWoX7xiU
0.026033727,0.107178636,0.026804755,0.042001735,0.036825012,0.019614365,0.070267975,0.16868348,1OwDBEIyWTg
0.04502359,0.35504997,0.04876316,0.052136723,0.033453964,0.055247467,0.082488954,0.19396293,FL2NRRwoYzs
0.025998283,0.0014311549,0.026464308,0.037881445,0.04056625,0.02676296,0.045104228,0.26033145,hyFwKUfhHLw
0.034785103,0.10821912,0.029119981,0.015757442,0.0465368,0.030571813,0.092744775,0.24843612,4XYMZqc00HE
0.034554448,0.06172539,0.025747737,0.02655065,0.018814098,0.03166976,0.05573178,0.24421123,x1rZqnE4CoE
0.108498506,0.12800089,0.05659358,0.08689302,0.061017904,0.052069493,0.1483715,0.4390518,6J3Kx-BBQwQ
0.0350728,0.07777268,0.07842902,0.05093802,0.046260234,0.04923077,0.092254855,0.28027937,W82sS2QUpc0
0.16695546,0.21279764,0.08744443,0.1256687,0.12423723,0.18859571,0.16006707,0.4433722,eZWZ0OL-InE
0.005603686,0.19036007,0.008175842,0.036679696,0.0183705,0.026346749,0.027354823,0.21756062,mVysIKly32g
