PERSPECTIVE_THREAT,PERSPECTIVE_SEXUALLY_EXPLICIT,PERSPECTIVE_IDENTITY_ATTACK,PERSPECTIVE_INSULT,PERSPECTIVE_TOXICITY,PERSPECTIVE_PROFANITY,PERSPECTIVE_INFLAMMATORY,PERSPECTIVE_FLIRTATION,video_id
0.15568572,0.19998848,0.09556093,0.1186018,0.0019870342,0.21187091,0.27335066,0.4229984,mKCcki6azHo
0.14174074,0.06529089,0.105652526,0.08378171,0.0066639404,0.05794923,0.43125713,0.27775016,ui3Dtn9tgJE
0.2104653,0.04333629,0.036976404,0.053728,0.024147147,0.036920518,0.0403302,0.27723557,0ITPtnSHK94
0.30525678,0.11613992,0.12179719,0.15991881,0.0014230289,0.164259,0.096172206,0.45859978,bN3seZiVJmk
0.13959211,0.024192762,0.026699342,0.03146538,0.08050597,0.020940922,0.24596936,0.26538786,OEJGQD1OuKA
0.24173346,0.13331738,0.118890025,0.0966323,0.021657806,0.12180997,0.05831573,0.3913526,IB47WJMwFfQ
0.3152596,0.10144944,0.13781367,0.08451609,0.05093802,0.09319449,0.14242838,0.2835531,w-NdQECb6sU
0.14219874,0.037730336,0.04079819,0.0725963,0.020824814,0.03572081,0.1321807,0.28038555,l7N1i3nmbAY
0.28169307,0.034533273,0.0489021,0.02909398,0.018048171,0.03348293,0.094713226,0.25378412,qk4gZrBR9CU
0.1678896,0.2519405,0.076146156,0.08153115,0.065721996,0.12784617,0.21458837,0.58034635,V0JdeRzVndI
0.09092237,0.067813806,0.054775815,0.06142483,6.1010196e-06,0.079660945,0.12728621,0.23524207,vokEw1wBKl8
0.27719668,0.06278166,0.12943605,0.12710977,0.03444787,0.09044533,0.17904544,0.36647907,0HppDzMemjE
0.61843777,0.28516075,0.16939391,0.13729519,0.0073233927,0.2334783,0.011940184,0.5117132,36ubP5Ydh-A
0.16726698,0.09007,0.10873187,0.3243154,0.1024659,0.13266103,0.26778516,0.2418634,n4pK5vz1l_U
0.2227736,0.20514452,0.11455437,0.06737508,0.022351967,0.10896773,0.11998159,0.37689814,q54j35z3fPQ
0.09284699,0.045190815,0.032917995,0.03807303,0.014507953,0.027422767,0.32749134,0.32406273,LsAooaGkKjM
0.051180232,0.05226203,0.023932086,0.02518917,0.0028634118,0.041017722,0.11362854,0.2127197,lXRYdKbOOJI
0.0779137,0.05098446,0.029080248,0.024657417,0.049212243,0.035827234,0.18770264,0.23468335,OJDmnvXwHC0
0.06998573,0.04769814,0.06047459,0.037455108,0.023117077,0.048096243,0.12907988,0.22153665,VDFsUCXpMCk
0.063096106,0.039479934,0.019901168,0.0124492645,0.0057615316,0.018709395,0.09547191,0.30775097,xUmpCNIz_Fw
0.20627621,0.23130769,0.17709622,0.2332788,0.0052062036,0.33186954,0.00074616965,0.35479462,Yn8WGaO__ak
0.3000265,0.09460627,0.06475446,0.05693802,0.067320265,0.06926981,0.07473241,0.31460258,rCjVfuR93dk
0.5008502,0.14083333,0.12708154,0.09346238,0.00070717593,0.099633545,0.02175351,0.4229729,9iQb4l0aDuE
0.101472974,0.05331908,0.034507755,0.039999384,0.083939545,0.04193011,0.046247292,0.23737243,ggbZ8YedpBE
0.09695189,0.0612905,0.08404831,0.08376202,0.049212243,0.058079932,0.09300475,0.2971382,C1ioEu0NKDE
0.08288431,0.050896123,0.025998442,0.024265977,0.00930175,0.03121492,0.14787643,0.27524096,IkINN514zcA
0.27504945,0.0602707,0.09337329,0.0292438,0.004217025,0.039819628,0.03858549,0.3870286,QwHJbBnG9uY
0.05376286,0.04587664,0.0343095,0.024523668,0.0057615316,0.031844005,0.09583347,0.19572012,1xSxXigZ3hA
0.308407,0.1757153,0.05767056,0.08968971,0.0039740684,0.12176061,0.019280076,0.49521193,bwVPQB2t-8g
0.36352655,0.22646068,0.40093917,0.4564664,0.013466713,0.44064984,0.077946536,0.40129095,_wh-_zub4cU
0.05687126,0.048188277,0.05124684,0.04357328,0.022213135,0.02552795,0.07564978,0.24836093,WAIOcPA0EBk
0.063033424,0.025540331,0.035397414,0.0238028,0.07091636,0.014344061,0.035683107,0.24898289,3UIGM-J_4eU
0.13434449,0.060041547,0.07314665,0.040106885,0.036336336,0.05537051,0.12770683,0.19308716,e1N4aWIJMN0
