PERSPECTIVE_SEXUALLY_EXPLICIT,PERSPECTIVE_INFLAMMATORY,PERSPECTIVE_PROFANITY,PERSPECTIVE_TOXICITY,PERSPECTIVE_IDENTITY_ATTACK,PERSPECTIVE_INSULT,PERSPECTIVE_FLIRTATION,PERSPECTIVE_THREAT,video_id
0.07157195,0.18806203,0.072468325,0.08850401,0.29567742,0.09625007,0.35992226,0.29081243,s2E_TQzBiJU
0.039434258,0.27128005,0.075550795,0.22983712,0.26108146,0.11902433,0.350633,0.16540048,TtscOnCYH9g
0.04454098,0.3484655,0.054657247,0.05493369,0.12800153,0.044574887,0.18255582,0.07478704,AutSYxtI6gI
0.06896439,0.37743652,0.14506319,0.08050597,0.3424263,0.19958512,0.2699157,0.13369606,NAwNASLFMNo
0.1683897,0.0127962,0.17003223,0.19634613,0.2973536,0.19209228,0.43706018,0.28697824,_dHt4HFLCaM
0.16335642,0.53013176,0.082961924,0.16551583,0.13632816,0.066198885,0.36212584,0.11204332,5TMJG_Lfr5M
0.07064018,0.43814835,0.08642559,0.1024659,0.23824048,0.10381242,0.24953128,0.21602623,8Iy6FHQYCwo
0.11989259,0.17670658,0.22680783,0.2712817,0.65786994,0.36726758,0.3923154,0.34308258,g-mVGwTMJxI
0.15312617,0.31247023,0.10362244,0.12695669,0.17366067,0.07605802,0.3870526,0.2735626,QiTmp9h4gI4
0.12131278,0.6504534,0.09920647,0.23891698,0.26598272,0.14100482,0.28417507,0.5189931,WRK9NEZGnTw
0.041459106,0.4380907,0.047976047,0.105704986,0.21857662,0.06136572,0.22369315,0.12504624,fUHOwe1t_UU
0.13383746,0.04770723,0.1680861,0.15042676,0.30846465,0.15047221,0.35973734,0.16447406,SK8oAqTW_6k
0.089459985,0.28133336,0.05278298,0.04680874,0.14713112,0.051379003,0.28790364,0.13159093,LlajrOXv9Yo
0.4372444,0.33281913,0.32968017,0.22988434,0.73071605,0.43269637,0.41228712,0.4170352,TY10H3qRN8M
0.12549037,0.3179369,0.095314085,0.13386416,0.20704676,0.07044686,0.29785427,0.25909212,D0-du0NnkD0
0.07159603,0.39263323,0.08105342,0.07131593,0.30042502,0.14984083,0.30427358,0.23089643,KrqRHOFMgho
0.08237648,0.4591619,0.22164801,0.22988434,0.45646372,0.18646021,0.28493372,0.77414095,9Gotbah5lhg
0.07305862,0.48009446,0.08726354,0.13969667,0.2209464,0.10021736,0.25450647,0.18866079,uJV3SUwDkC0
0.0682859,0.36872095,0.09879805,0.11021292,0.24035922,0.105877884,0.2588128,0.24671212,IPnAYN-mFf8
0.04094706,0.24597019,0.021886883,0.0765103,0.049863417,0.015949165,0.3374291,0.08743906,GLx2Rvw2YAo
0.06733347,0.4547985,0.05707603,0.0801064,0.1552488,0.06128116,0.24076156,0.1541574,jXMwTiUxRAw
0.14059085,0.58778876,0.1919806,0.15334547,0.4684858,0.18525085,0.38081825,0.49726623,EoDYMLn07nc
0.072680146,0.33250743,0.06625291,0.09172598,0.17742932,0.06054426,0.3592638,0.24466795,BmRONG7i6mg
0.09253461,0.6307827,0.07780046,0.09387396,0.1481153,0.07369111,0.33098897,0.1585789,oTKZCHoxdaA
0.12585165,0.5680319,0.4375632,0.35642847,0.82874674,0.45641688,0.23802526,0.4118601,zeHqZT-NsxE
0.050525986,0.3484655,0.04078003,0.048868883,0.1454966,0.043003604,0.2338935,0.065474704,TLKveX5YUuw
0.08525563,0.17898281,0.08531111,0.03427619,0.15142764,0.0457409,0.33981287,0.31479907,3D3srJ87S18
0.07485341,0.32787567,0.13490279,0.15188612,0.26128548,0.14036736,0.2507647,0.15563765,HrqHN04QjMA
0.08821007,0.7079002,0.23015188,0.27194336,0.58523935,0.36316502,0.263493,0.20964296,2K6-K-YKwxw
0.0788378,0.31632018,0.12963948,0.09763293,0.29682833,0.13235097,0.25784937,0.29106867,6054GzO4oEc
0.12195803,0.33925214,0.10935939,0.059328925,0.16031967,0.07202245,0.37185487,0.23455401,E6x7HB5QqPg
0.07855624,0.18803674,0.14788786,0.2712817,0.4043654,0.13673766,0.34784773,0.35518244,mnqIyoeoBYY
0.13474421,0.11274614,0.13904707,0.229845,0.29708663,0.12346648,0.31781647,0.21390583,mjecCeAHGN4
0.10928019,0.3509453,0.08375059,0.05373499,0.15142015,0.051965974,0.3221335,0.3137715,c9T17jHEB5k
0.23072869,0.42867956,0.18585786,0.15217799,0.27713108,0.15561013,0.36134407,0.2664814,l8O-7KqDCew
0.105125904,0.68825495,0.16962922,0.34388447,0.37906107,0.20584682,0.22110166,0.24524717,A4uZGyh1uTk
0.14023733,0.48472038,0.14167662,0.08850401,0.2661725,0.12141226,0.32733917,0.37364343,p3yKcamADZI
0.18847391,0.17323916,0.2702091,0.13476147,0.65827626,0.30702016,0.52263045,0.49413684,WJjnpjJnb9E
0.0835525,0.36508673,0.07649988,0.13476147,0.17773727,0.07022273,0.25987178,0.211132,fg57_CnEmbg
0.05428208,0.4482687,0.0445822,0.0495556,0.13265075,0.047658328,0.24021994,0.11706284,t7ex4HjwGfk
0.07433199,0.4396368,0.1496851,0.18746567,0.5421842,0.23327342,0.24051702,0.19963771,24bXkJcuWDU
