PERSPECTIVE_PROFANITY,PERSPECTIVE_IDENTITY_ATTACK,PERSPECTIVE_TOXICITY,PERSPECTIVE_FLIRTATION,PERSPECTIVE_INSULT,PERSPECTIVE_SEXUALLY_EXPLICIT,PERSPECTIVE_INFLAMMATORY,PERSPECTIVE_THREAT,video_id
0.112646684,0.31204426,0.12888865,0.38578153,0.35484886,0.05394895,0.10524641,0.5058824,Thv5bNNNRzU
0.23231225,0.4562211,0.26817688,0.15250205,0.36212248,0.06618613,0.25920665,0.174,A9SXSgXRHYo
0.2662719,0.3979689,0.3411882,0.22903767,0.45485908,0.08305554,0.26637596,0.41982612,wmAOe_klMKY
0.2095926,0.294885,0.263611,0.27191678,0.30347243,0.11319591,0.29254785,0.4736488,4ALy6I1J1uo
0.21953593,0.3059065,0.24991328,0.20039447,0.45588836,0.07849009,0.33522746,0.4506036,Fi1PmtREPZ4
0.09508346,0.21763028,0.15859914,0.19899595,0.34570158,0.032823145,0.42040437,0.30042934,lzK7dqdH3PQ
0.20441562,0.5280101,0.037194733,0.26327518,0.29150063,0.13404171,0.17177136,0.24898559,iZ_CgE75HuM
0.086419076,0.39230606,0.29855597,0.17574434,0.23129389,0.019609518,0.61966765,0.28902134,SoWSuxBy6oo
0.22507069,0.5662799,0.44129625,0.38389274,0.70199466,0.05100968,0.2656236,0.4667508,UcqBgXCxddE
0.04350087,0.10960502,0.056931525,0.21256395,0.1339748,0.041327048,0.13229693,0.21617801,8BIcAZxFfrc
0.017299257,0.020009432,0.05413456,0.43511063,0.056397136,0.07998205,0.2748589,0.12188349,xQc5Feyl2GE
0.13623671,0.40439975,0.15626417,0.12633759,0.26131886,0.027213471,0.2733255,0.14190288,z-UJW2BZY0U
0.06590383,0.16821778,0.13082063,0.25432962,0.23256266,0.061400414,0.24534135,0.32212335,Jk-FtgGV8I8
0.2619295,0.6350989,0.2022951,0.6295761,0.4411105,0.3012842,0.36321703,0.51204246,NwEH9Ui4HV8
0.2033131,0.63237685,0.078108564,0.1792941,0.4981332,0.04538228,0.22740306,0.3379229,dUGU0pgYBSU
0.24640542,0.5364403,0.5024423,0.490074,0.660731,0.0527021,0.2943229,0.6020227,lXz9TpKGd5g
0.23151235,0.3084065,0.0669207,0.21577801,0.44867417,0.08078341,0.21182698,0.42131898,6BN1riwLjfY
0.062279437,0.15733543,0.08850401,0.299232,0.24283706,0.0645516,0.20195463,0.24868429,kJdy5K1DYYA
0.21203959,0.5801692,0.10699297,0.17026912,0.55534667,0.042890467,0.21333244,0.16083668,_MBiP3G2Pzc
0.12722826,0.25643548,0.020824814,0.22117336,0.38115996,0.05582318,0.36657843,0.24095322,SFzPzsxRKgI
0.097422384,0.40779683,0.15976663,0.31359625,0.4412909,0.044405542,0.21064346,0.31872636,n2dOGcQyH1E
0.1391477,0.14133787,0.23365098,0.29586726,0.37016326,0.0724369,0.38200632,0.12575947,OsDH0tChwFk
0.2987903,0.27643928,0.3123962,0.32811803,0.29891172,0.1453629,0.2702919,0.55128664,5_O8fDvUCTc
0.067194365,0.17318851,0.1668969,0.28749096,0.23180266,0.037954096,0.4629904,0.27078885,873cZKQvlgA
0.090673015,0.18578267,0.10461388,0.27299803,0.22168483,0.05480106,0.26240095,0.31524438,04URF8dos-E
0.18889064,0.25349486,0.059728492,0.3815374,0.32862663,0.18776716,0.34930804,0.38571805,YUkrdZMKzAM
0.19799462,0.30337343,0.18450552,0.24079515,0.3996271,0.09911171,0.1902024,0.27780548,KhT0NxCayEg
