PERSPECTIVE_PROFANITY,PERSPECTIVE_FLIRTATION,PERSPECTIVE_IDENTITY_ATTACK,PERSPECTIVE_TOXICITY,PERSPECTIVE_INFLAMMATORY,PERSPECTIVE_THREAT,PERSPECTIVE_INSULT,PERSPECTIVE_SEXUALLY_EXPLICIT,video_id
0.23340374,0.3602639,0.28834742,0.10031791,0.40345144,0.4098013,0.19353762,0.22535136,wmLxjwj8WCA
0.07974324,0.2858029,0.07647443,1.287993e-06,0.066080354,0.094381705,0.09845668,0.06868122,H3AmrBLUE1g
0.26487777,0.61980003,0.28507793,0.3544517,0.050411534,0.24454486,0.58897984,0.23501,OnYg9gUvtRg
0.117745966,0.3752796,0.10061449,0.089577995,0.09141186,0.17429218,0.068618715,0.1778768,bwky3b-8EIE
0.09068445,0.2780552,0.08941901,0.05253629,0.053846415,0.36465582,0.078532755,0.06717397,YbnLBl9eX_M
0.15174317,0.4260236,0.09732678,0.010134743,0.030294757,0.25657913,0.06038623,0.1721163,MgIRnS7F1S0
0.21733779,0.42043534,0.15292372,0.16827796,0.37224802,0.17957148,0.24121822,0.24772651,YxQaE0d9Tt4
0.14844048,0.30812338,0.10489681,0.026035614,0.12271562,0.23027751,0.11370997,0.13876203,pAxMuKj3oFE
0.17469625,0.37935883,0.1743392,0.05373499,0.010450071,0.4107298,0.1760648,0.15609476,O5wyXytVsXM
0.05502482,0.41593245,0.09501559,0.022074303,0.051128212,0.20097136,0.06961869,0.08453463,eCUbMegPIcM
0.309938,0.4341684,0.15617642,0.13790205,0.038267408,0.47754854,0.1807746,0.18549673,39_IT2TqpoM
0.09120773,0.21357661,0.07659973,0.15684792,0.098857075,0.10003828,0.05214483,0.12733358,MLHw1uSWdmA
0.04695032,0.3352831,0.036909837,0.026035614,0.011369406,0.1658059,0.053068582,0.04290878,yXbMJk9YttQ
0.1369742,0.39229172,0.09212669,0.15334547,0.3070893,0.19808511,0.0948328,0.18279359,Amp9qIWVC74
0.12592536,0.42879158,0.12611942,0.19239926,0.015789043,0.1780629,0.12333212,0.17198098,r5p13Kt9EVo
0.21918778,0.3962197,0.107988834,0.018881164,0.20750545,0.12787415,0.23619252,0.21916178,afpelyHJa2Q
0.12366025,0.39699224,0.079031385,0.15859914,0.016578833,0.16794674,0.10613035,0.14046165,kobEMc0PYts
0.14267975,0.35183737,0.13252062,0.010204159,0.17248112,0.20071179,0.12267541,0.13896951,XUf6UdaA8cA
0.30955836,0.48865786,0.21649817,0.1689685,0.014791437,0.50203615,0.25591764,0.2726775,PjbFU4L9VgA
0.27033624,0.511851,0.12282607,0.03204437,0.025585178,0.5522259,0.18227471,0.2762573,9G3UCWUqlQ0
0.041800268,0.6353351,0.02756945,0.028954152,0.067737475,0.085372694,0.017790873,0.14049828,JgdP7oWP0_0
0.21000157,0.3671319,0.27072355,0.037881445,0.03136025,0.30442587,0.20511281,0.12102676,Z4bWd0RVoag
0.11628919,0.44639894,0.09265309,0.06132676,0.039877623,0.23408127,0.11529978,0.12276763,P_0xnyPitcs
0.23212442,0.5533483,0.13759437,0.0095794145,0.124116525,0.2607883,0.1654869,0.3069341,VL3d5fzLE6o
0.14070739,0.5010037,0.12103334,0.05653196,0.0064206077,0.3601942,0.085048914,0.13443375,XiXNh1ogrjw
0.23633629,0.42184064,0.14699812,0.048868883,0.03181001,0.49902335,0.21255416,0.18625385,eaK2cq_TfOw
0.20787334,0.47197297,0.24235746,0.13521013,0.04695054,0.4008201,0.23680665,0.17785476,HlVNvKx3JCg
0.17247683,0.40502667,0.31050295,0.0013362588,0.12553062,0.23768903,0.18282324,0.2124805,7kAui503w3k
0.015734462,0.36799943,0.031281885,0.014438537,0.113770835,0.07700081,0.057012595,0.02294033,-N73oLPdqaE
