PERSPECTIVE_SEXUALLY_EXPLICIT,PERSPECTIVE_TOXICITY,PERSPECTIVE_IDENTITY_ATTACK,PERSPECTIVE_FLIRTATION,PERSPECTIVE_PROFANITY,PERSPECTIVE_INFLAMMATORY,PERSPECTIVE_INSULT,PERSPECTIVE_THREAT,video_id
0.0640602,0.010273575,0.043191087,0.2449987,0.050379634,0.18183671,0.04088058,0.16941932,2voX3fjMGjA
0.10381103,0.036851373,0.08073579,0.33373976,0.1005218,0.19341055,0.11967136,0.38365358,-Ibnq-dzpXk
0.069355704,0.10699297,0.062646985,0.28616413,0.040043492,0.09546287,0.05964959,0.073300466,kp6-bgvlRhg
0.09466452,0.035477944,0.07526103,0.22931565,0.10391675,0.09349644,0.09291638,0.22688621,jC8CUIID2HA
0.100967094,0.036679696,0.08378274,0.2758215,0.11193968,0.2685201,0.10495962,0.2675898,j_Nws3R4fsA
0.09732769,0.0060391957,0.078359716,0.3299461,0.058687475,0.112985946,0.03901452,0.12148319,GgniB25RIaU
0.15676919,0.065721996,0.060108628,0.44251677,0.076685354,0.351684,0.047232576,0.29101261,RzgVWpa4fzU
0.111967325,0.0729142,0.24509075,0.3849302,0.1807408,0.010380971,0.19857506,0.70857716,A2oPC4ytFrE
0.040714726,0.015132698,0.05392435,0.17500305,0.037095595,0.08811285,0.038609855,0.15160817,YYxRi5rs2Gw
0.033380672,0.00930175,0.011097466,0.27441034,0.015548235,0.018204143,0.011806059,0.06693594,S-SOEBTplOM
0.13514915,0.016798683,0.056203507,0.3832405,0.104623884,0.114028685,0.05566141,0.31835452,ZpSZdQUIlpg
0.20020649,0.011106567,0.13409278,0.37898883,0.24220833,0.0021726566,0.13571526,0.48789358,IDQBd9cVZAc
0.063800305,0.009718247,0.072375566,0.22014673,0.04486806,0.048714634,0.024929976,0.13612105,6DVVWzymbE8
0.090477996,0.015549194,0.055089973,0.3031017,0.070770554,0.19471504,0.06134749,0.11812261,KXwW6F181i0
0.062387336,0.011523063,0.06169612,0.20753099,0.08538011,0.14307776,0.06324116,0.22753508,W-UEGcogulU
0.09296688,0.020685982,0.008196949,0.4112467,0.015880955,0.08270242,0.010936597,0.13675812,znh1Xm1gGo8
0.043067712,0.01527153,0.05541878,0.257617,0.040089533,0.1130343,0.040640153,0.20188603,QI7tzS7vXF0
0.09968594,0.029469188,0.0754342,0.36994168,0.07829651,0.09255561,0.047905616,0.29409572,AbrNCUEJDRM
0.077006266,0.02809576,0.050204717,0.3347548,0.06379121,0.17296505,0.048370566,0.2539613,TRR5pDYw8og
0.035983946,0.020685982,0.04843114,0.18344386,0.032507654,0.4311517,0.023786873,0.13570924,FeHwdyvvJ-w
0.04575662,0.01263372,0.09063142,0.2671275,0.040062,0.1273302,0.10250599,0.15527406,EiHTppZbWTo
0.079180084,0.012703137,0.21324681,0.36933124,0.1259035,0.1567048,0.149948,0.518293,9ZFx-7zI9MQ
0.052260194,0.010828903,0.04371563,0.31319362,0.030431123,0.09615004,0.0351247,0.1687965,SX0BavA2ovo
0.055870567,0.008850546,0.05937229,0.33937192,0.03941712,0.15617622,0.041045077,0.16813178,1vWldzHWUtc
0.081092454,0.008052262,0.046860673,0.29620618,0.05887013,0.06539737,0.055736408,0.19701126,0EWCqCIsFOA
0.1436556,0.15684792,0.06905031,0.51087797,0.07133993,0.084187895,0.074736826,0.1930389,TthHg4qPjDA
0.10162861,0.18055865,0.063799724,0.22432375,0.091978006,0.108886726,0.077857316,0.3157417,1BVu1wqJN3w
0.10883928,0.056931525,0.10418926,0.26154685,0.112545855,0.26543805,0.09834231,0.24539322,OfxApSZ5bCM
0.061917156,0.0036443423,0.05041261,0.34317392,0.052663673,0.14943597,0.062302746,0.1821346,ofrY_dktQCQ
0.10576196,0.02655065,0.069709934,0.36964,0.08616131,0.06180656,0.059365984,0.33703774,2yj6jLY5YHI
0.068147,0.024662184,0.09358119,0.21329483,0.083385184,0.07210601,0.068674155,0.2532796,1QwyMWM0Jjg
0.045728862,0.019852988,0.027366498,0.24953046,0.03857222,0.17680977,0.03243113,0.09908721,O_s5wAkXowI
0.07485822,0.014716201,0.06899521,0.2734764,0.061743997,0.18091446,0.055740904,0.061687842,ZqpDFnVUBU0
0.13029048,0.18746567,0.31429136,0.47869188,0.19617446,0.14649588,0.3233171,0.61253124,7is6r6zXFDc
0.054368433,0.010342991,0.054001313,0.24329646,0.041292123,0.17650688,0.03552973,0.1721095,lbOu2faRwYE
0.038301688,0.018464668,0.057726223,0.15267776,0.051253468,0.14032727,0.19034317,0.20820208,AE30CYA74Eo
0.09695524,0.019575324,0.11228754,0.30282813,0.1073016,0.07290571,0.08214587,0.50600445,o2pAr5LFFVs
