PERSPECTIVE_TOXICITY,PERSPECTIVE_INFLAMMATORY,PERSPECTIVE_IDENTITY_ATTACK,PERSPECTIVE_INSULT,PERSPECTIVE_SEXUALLY_EXPLICIT,PERSPECTIVE_PROFANITY,PERSPECTIVE_FLIRTATION,PERSPECTIVE_THREAT,video_id
0.37221906,0.7279288,0.41653925,0.29382548,0.15841778,0.24967703,0.3864576,0.8763936,UEOfIWi6_aI
0.15130237,0.15009724,0.1313847,0.14275326,0.1616192,0.15409309,0.30223146,0.21801412,ABAUnaQ77ZU
0.5026305,0.44819963,0.3740793,0.32573465,0.090849765,0.15052861,0.3707262,0.1655908,-n1pHHNYH-E
0.0066292323,0.077100426,0.047035694,0.036297016,0.097294845,0.043668482,0.43297228,0.10254842,tksolV5Gkso
0.09172598,0.22125879,0.14614567,0.16636659,0.080334805,0.1072737,0.30613935,0.27531803,1obS04QLUII
0.025692256,0.1864252,0.03258791,0.021793861,0.020267492,0.023590002,0.14959453,0.048957273,_pJDZjnKVo8
0.22422299,0.45500964,0.24026383,0.12379392,0.019937336,0.10136352,0.21592349,0.82345974,Ds2o0D5HO9U
0.34684154,0.43432775,0.3276845,0.49216816,0.16912079,0.35528025,0.33766562,0.7326178,-oRQjiRHVWI
0.34388447,0.3132138,0.5221286,0.42661688,0.11872155,0.17834142,0.43332747,0.2769967,bSzdd1PHz2k
0.030155903,0.31381333,0.01655485,0.018571438,0.049332306,0.012413508,0.29150888,0.014468986,-JoQNxty80g
0.26817688,0.20336364,0.15811071,0.2933269,0.06757263,0.098934285,0.37267172,0.14410727,P4yNVetWHa8
0.2712817,0.009893375,0.13215877,0.043842178,0.029120067,0.02692116,0.2897527,0.164726,kFr6N-1vLxs
0.23277332,0.44418663,0.6322289,0.48052666,0.1238843,0.252421,0.4371611,0.6997318,vm_ikHbZU1g
0.2299237,0.72533494,0.5047853,0.26820517,0.0819446,0.18578176,0.39740807,0.78395146,S33HVduI474
0.2712817,0.43723372,0.31105268,0.10934399,0.038480088,0.07166249,0.25523436,0.11499835,KgxvCW9f-Ms
0.12888865,0.3872679,0.08170786,0.07766362,0.10880984,0.069859296,0.555329,0.12808438,062go1yZG0s
0.13251819,0.5368736,0.0015596916,0.0030523695,0.03720803,0.002086388,0.21935119,0.004476689,WfewImAq1oQ
0.028954152,0.5680319,0.114586994,0.109330185,0.023399685,0.03355094,0.19927695,0.034448594,dlPYIVFo7Bs
0.22983712,0.17057146,0.12453985,0.08180842,0.08801096,0.08686548,0.29500213,0.19755976,y5tVsnPAbJo
0.12631269,0.13151537,0.2309402,0.19380541,0.08405659,0.10396846,0.42419702,0.36968124,X8SIVkfEO0g
0.090114996,0.17849524,0.12140323,0.20288183,0.24611919,0.14453895,0.5430222,0.11845524,D2hYjJqKNf4
0.22985287,0.04422278,0.5734566,0.44321752,0.15829195,0.16557056,0.50983703,0.29434744,jOhH3jhqZLM
0.038224805,0.10965991,0.07582851,0.051215656,0.07803125,0.04858048,0.29468036,0.12763569,S3ziFuR49MQ
0.16275369,0.2626342,0.12114061,0.06560416,0.07569895,0.08334911,0.22021219,0.16853987,swTqeyukvDQ
0.21186037,0.386918,0.13563195,0.13865043,0.15662828,0.16336685,0.32469985,0.20466462,DTGSiPJGjio
0.028954152,0.34940463,0.03508202,0.039903566,0.028332818,0.015330112,0.24544564,0.053054996,6uQSIsDf0XM
0.12244874,0.19029053,0.040831737,0.07668916,0.048876315,0.03875834,0.33479142,0.05237116,xW0wzT_fJwo
0.15626417,0.46191648,0.22224465,0.12115497,0.059840962,0.090359755,0.27557668,0.3013614,hULpx6vhKRE
0.1024659,0.12463826,0.116089076,0.11496961,0.15625747,0.14465232,0.44751987,0.2161727,cucsLbr20KM
0.119228795,0.08470631,0.047975898,0.09786803,0.049204856,0.07623446,0.33504337,0.08855597,Au-EhfBTnEM
0.013605545,0.36262435,0.11206591,0.085671715,0.039021313,0.07276194,0.16485386,0.09813436,J8U4fxxw3eg
0.2008281,0.45097256,0.26764226,0.2161008,0.061726436,0.059611548,0.22797126,0.042664025,04vGRXcpDQM
0.53430706,0.05927591,0.31280714,0.43853474,0.18903917,0.30914414,0.35337985,0.25702387,8vRkoObNQvo
0.12309273,0.023316812,0.4015232,0.20517218,0.22355345,0.16575532,0.46740964,0.5245368,yi-1k8VuRo4
