PERSPECTIVE_IDENTITY_ATTACK,PERSPECTIVE_TOXICITY,PERSPECTIVE_INFLAMMATORY,PERSPECTIVE_FLIRTATION,PERSPECTIVE_INSULT,PERSPECTIVE_THREAT,PERSPECTIVE_SEXUALLY_EXPLICIT,PERSPECTIVE_PROFANITY,video_id
0.8540146,0.22069082,0.047488105,0.32609394,0.6364148,0.742962,0.4186769,0.5715969,OSq1SYCqc2k
0.22391534,0.0017354011,0.3213878,0.19433352,0.080691434,0.033808284,0.122472696,0.071787775,W9JHMP5jNws
0.74579537,0.22333995,0.27793443,0.39348882,0.38868168,0.573147,0.43472454,0.43099648,GYE5enYylmc
0.32111976,0.41665444,0.35040632,0.39622304,0.18647525,0.2511906,0.23266858,0.13775566,aMc7jSX7cvI
0.69563484,0.44805592,0.41294366,0.31945866,0.42534932,0.54247063,0.24706471,0.27612004,j9WG26WhlvQ
0.40498656,0.077709,0.48993847,0.34767476,0.15992777,0.1801559,0.21319924,0.11561888,57GzKYfzPGY
0.8019373,0.0025336856,0.64577097,0.392007,0.56374145,0.4919023,0.28823838,0.37918502,4rFSotQ-RSo
0.302445,0.13017663,0.37731165,0.4357395,0.14550558,0.30587766,0.40457368,0.15085158,KeVU5MLPCec
0.420139,0.13206954,0.31776622,0.32327345,0.2576988,0.11311407,0.29272535,0.22300698,9YL2M6Vf2zA
0.13146631,0.36667302,0.35259753,0.6050568,0.18904525,0.3005102,0.20574497,0.14820954,myUSQfzhKEk
0.38983315,0.22991583,0.5592308,0.35763928,0.124569066,0.13059385,0.28178263,0.10262349,tW7r_i2BXqk
0.10280449,0.27045983,0.543627,0.18428127,0.040124755,0.01571434,0.1417594,0.033829883,UWXro0IS_j4
0.31242347,0.2459383,0.5680319,0.28821483,0.17011197,0.1330154,0.2636588,0.18351361,Ef8p1nGVjVM
0.6170161,0.22775516,0.72437054,0.24594034,0.312387,0.2843009,0.30154452,0.17591853,-S6uutxdKX8
0.4841999,0.00014533984,0.60519075,0.25838572,0.30392867,0.029428191,0.5076881,0.19310455,GSSPb_RLK70
0.75482726,0.27690583,0.39942065,0.2817938,0.31703117,0.39694527,0.16704966,0.20700397,fWWwihbkYmw
0.54743415,0.054534122,0.08595829,0.33765352,0.3131753,0.53731793,0.39622563,0.26844206,5NA_c_xnZW8
0.49553418,0.0027766419,0.4399759,0.3652699,0.287676,0.34570682,0.41949928,0.26186147,WePIKvcY3g4
0.80025893,0.09118898,0.37048206,0.22235525,0.4101218,0.14882661,0.18413574,0.21075523,cEhis4L4ohY
0.6662961,0.06372416,0.23132558,0.37637937,0.38300395,0.5751302,0.38196495,0.29739487,lTmu0-KwBtU
