PERSPECTIVE_FLIRTATION,PERSPECTIVE_PROFANITY,PERSPECTIVE_THREAT,PERSPECTIVE_SEXUALLY_EXPLICIT,PERSPECTIVE_TOXICITY,PERSPECTIVE_INFLAMMATORY,PERSPECTIVE_INSULT,PERSPECTIVE_IDENTITY_ATTACK,video_id
0.36243385,0.12871018,0.1809909,0.086995214,0.17173064,0.26729012,0.19682005,0.07797892,UcZMMR9SK_w
0.5087646,0.11745952,0.2925943,0.11628849,0.00843405,0.0384207,0.098600596,0.15198581,2N8x28k2Lhs
0.24157351,0.046938792,0.22309443,0.044677097,0.051737156,0.3337586,0.04371534,0.054820813,cpbc-h1ECCk
0.36338523,0.22515173,0.32805544,0.17431623,0.0765103,0.14463723,0.1751059,0.29732382,Bwauc6vyWw0
0.273105,0.05727635,0.08282141,0.09565574,0.007392809,0.080412075,0.026758153,0.064004794,Z1eM_iX6m8U
0.51629424,0.08866226,0.12121501,0.16018865,0.0013362588,0.110766135,0.04647008,0.043909393,Sg_jQA5M4kA
0.31239903,0.015591064,0.06822804,0.0582477,0.011661896,0.04344924,0.011157389,0.021231832,ARfMk1rZlto
0.34147516,0.062068492,0.40555456,0.057624456,0.048525527,0.09506945,0.05430411,0.08002285,yNEAOGqDe1I
0.1969188,0.030860426,0.07791951,0.04176798,0.024662184,0.17553967,0.023949562,0.026887562,suXoGll3JMw
0.32254842,0.09020351,0.12672603,0.08239982,0.036336336,0.4416529,0.10527188,0.1003518,AVyiv6eJWq0
0.29579538,0.03947329,0.0929357,0.0671329,0.009648831,0.11929436,0.025112318,0.046244673,tXCB5ORsp_o
0.29295537,0.12867613,0.16031207,0.12849909,0.018881164,0.3093076,0.105313,0.19323939,B4hlggILsuY
0.2500849,0.06532598,0.30616868,0.05888317,0.010412407,0.020335723,0.045050465,0.05596424,5NqN5rbzh2I
0.3489574,0.08953107,0.17583686,0.112574026,0.028782474,0.046955436,0.06611094,0.11706935,WA26ItyG3Ik
0.26893145,0.031014284,0.1774021,0.05143766,0.014022041,0.17902131,0.017981285,0.042198054,IBl15polpp8
0.19747618,0.066382654,0.10649907,0.04870807,0.017076347,0.067097835,0.060433112,0.15155053,3Nss4a5sgSI
0.48033014,0.11759559,0.19950779,0.102913536,0.0047897073,0.08748187,0.08594224,0.06703162,wzAJLKLNE9k
0.30438823,0.06515911,0.13344617,0.1145528,0.014646785,0.098491184,0.040505093,0.044047467,_DC8g_NxwmU
0.5205643,0.083253264,0.14915451,0.14546223,0.0669207,0.29903096,0.1641227,0.04846506,Gh0tSwtSpcY
0.3800072,0.07994048,0.28223848,0.097871825,0.016937515,0.11752689,0.068120055,0.16778691,3oPjNV5ClNI
0.30835637,0.067959934,0.12932219,0.07382194,0.062125895,0.21290857,0.07367723,0.08962508,UDNfL24OkCw
0.39881143,0.047641754,0.14379333,0.06737347,0.01631277,0.18451524,0.10058104,0.05159788,F4U9aGYrjcA
0.28771415,0.024773443,0.069952935,0.030413764,0.013744377,0.055289377,0.043240637,0.051831923,jmkT5DWqwUU
0.31634253,0.056529492,0.15270068,0.045745663,0.032387726,0.26832634,0.0765333,0.069243394,wX0HXGo0ZDc
0.2852409,0.06360508,0.26656517,0.05084753,0.017354012,0.032619726,0.071668744,0.116766915,6jNn5O4YBjU
0.24300824,0.105213076,0.36021078,0.05089762,0.057331093,0.5680319,0.14991376,0.26136005,7XrymquihYE
0.24251609,0.084541135,0.08834567,0.083195336,0.02054715,0.20755601,0.11285103,0.08814264,YexPhWxsxVo
0.2483215,0.025976136,0.083861895,0.030320985,0.027752401,0.16432357,0.027804574,0.040868815,FTzjdK5mH_g
0.31612882,0.10305022,0.23415735,0.053379312,0.015410362,0.04796223,0.18181439,0.10765667,YWZx4f2OCfY
0.63558704,0.13952714,0.19573809,0.17747755,0.015063282,0.03375849,0.054800667,0.060528137,cR9XzTCHMrM
0.25218287,0.021115111,0.071725294,0.035319556,0.009648831,0.03535543,0.013558666,0.021191785,3zPEj5xV6PM
0.34572792,0.10893568,0.5334838,0.088365376,0.105704986,0.20881782,0.09142564,0.19158694,yxG-81Ipgz8
0.5004426,0.09067368,0.21178709,0.09574788,0.045778666,0.21173695,0.10018409,0.1341922,NhAaewMMKmo
0.24438803,0.08833344,0.30248675,0.054139927,0.10515087,0.32423282,0.16671139,0.28397068,mn-YP78L1q0
0.32667533,0.06707219,0.36703697,0.0732696,0.0036443423,0.14374772,0.054545533,0.055562638,gZvEfghjpJ4
0.26881462,0.057200193,0.11219203,0.08885008,0.0069068964,0.09481302,0.03437572,0.04065061,lkrgRl_g__4
0.43205446,0.10428884,0.33711135,0.10435592,0.0121478075,0.05853312,0.05713748,0.09793249,FD_0Sz2Zc3w
0.42752552,0.12473353,0.374441,0.14972545,0.047495455,0.09428977,0.11732164,0.11714767,Zzc0yFAEN8U
0.48723868,0.033501823,0.093451425,0.05107997,0.080905534,0.24503341,0.08249793,0.07881019,JZ_tGKiMYpw
0.31211463,0.06790787,0.13280007,0.061256293,0.003054306,0.093254656,0.051981173,0.09697815,07ABUwjEW44
0.4464902,0.16723959,0.23841646,0.15095319,0.09763293,0.10206647,0.25690246,0.21627861,Jcm72G9gLCY
0.38492692,0.12801406,0.258988,0.08625466,0.07251463,0.27222857,0.30073038,0.35110807,TEhpWAFuWFk
0.25213197,0.1637719,0.20142323,0.1375591,0.019297661,0.19263262,0.12553826,0.11487029,1mxnK0lBakU
0.39978418,0.07423006,0.1672337,0.10000299,0.04406188,0.08750107,0.056129135,0.07176107,mB0qaFpq-OU
0.21608044,0.028167501,0.10478014,0.035182413,0.015340946,0.26477262,0.019370744,0.029277228,FkgH1yG4BUc
