PERSPECTIVE_IDENTITY_ATTACK,PERSPECTIVE_TOXICITY,PERSPECTIVE_SEXUALLY_EXPLICIT,PERSPECTIVE_INSULT,PERSPECTIVE_INFLAMMATORY,PERSPECTIVE_THREAT,PERSPECTIVE_FLIRTATION,PERSPECTIVE_PROFANITY,video_id
0.07010982,0.112144895,0.031425368,0.056496326,0.055771433,0.2444089,0.2641846,0.060014717,dFMMssyRsWo
0.115026034,0.013536129,0.11650299,0.08100345,0.097390376,0.3367951,0.40270072,0.11385856,N6t6QHQtdVw
0.06467231,0.08581903,0.0360916,0.043062292,0.18057555,0.0653191,0.1468631,0.049555693,dC7A9FHLreI
0.22019641,0.2936093,0.042675998,0.25824755,0.15649462,0.078770794,0.15352617,0.16958112,DkZ7BJQupVA
0.033163853,0.037023053,0.028435864,0.030354936,0.12920578,0.06247896,0.14936438,0.03363284,EGCYrK9ZC7k
0.030721813,0.008954669,0.026853643,0.027602924,0.18021353,0.07897402,0.24252427,0.019108946,JgvDuLcL4yQ
0.019423222,0.029640866,0.034999207,0.015251364,0.13974996,0.06352449,0.22809015,0.016414125,YlkfMYgWUtA
0.1090753,0.0070457286,0.073910974,0.07735881,0.08340554,0.12415645,0.43768382,0.10577295,PKGZdok74f8
0.05041392,0.014160873,0.052563816,0.04758144,0.1555547,0.08479618,0.1996374,0.053248037,XRKwjdjPe7I
0.030827211,0.01527153,0.039021447,0.022708459,0.11071369,0.08405072,0.19548613,0.032621104,pLU8v8fAw7s
0.01780089,0.006108612,0.02200689,0.017109262,0.1841506,0.06732765,0.1603524,0.02388213,STFoSxqFQXU
0.056849595,0.014577369,0.055167828,0.10242476,0.19503285,0.08418789,0.2557129,0.045236893,sN-y_DJTA3Q
0.026133109,0.038911518,0.040477704,0.06571902,0.118261695,0.061868887,0.21058106,0.047548942,VTfgNFz1DBM
0.060162123,0.09172598,0.13892561,0.036250073,0.19155261,0.26762763,0.36984974,0.068862,9ydDNU3-ay8
0.143408,0.033074442,0.040270742,0.0707126,0.43860444,0.1057071,0.22579056,0.054099087,rzQKEkE5uJA
0.030130437,0.032559406,0.05351549,0.01120636,0.16739869,0.086104795,0.18937239,0.025145425,OWXoRSIxyIU
