PERSPECTIVE_SEXUALLY_EXPLICIT,PERSPECTIVE_PROFANITY,PERSPECTIVE_FLIRTATION,PERSPECTIVE_INFLAMMATORY,PERSPECTIVE_INSULT,PERSPECTIVE_TOXICITY,PERSPECTIVE_IDENTITY_ATTACK,PERSPECTIVE_THREAT,video_id
0.16963394,0.17466956,0.52689517,0.0814368,0.08936038,0.000741884,0.13318971,0.35226104,wnocQf-Y7OY
0.10826497,0.08548385,0.58473647,0.30913493,0.13044769,0.11021292,0.1709664,0.5438603,JbB2Mqp2Lzw
0.071996994,0.061132185,0.27995056,0.093534715,0.062371988,0.010204159,0.06533234,0.13222887,39YO82Z6uUk
0.093494736,0.031352594,0.25594512,0.1389327,0.021067021,0.009926494,0.019498661,0.0611209,MQ-hoEcoTo0
0.15709527,0.21098338,0.37944648,0.09359456,0.11114232,0.0020738044,0.14128852,0.5020553,9imNPZRv-y8
0.15091933,0.11739865,0.31960452,0.04159338,0.048197694,0.040628307,0.09071407,0.24767217,4xpT2jcTdV8
0.080179274,0.10031261,0.33390293,0.092803925,0.13483131,0.13017663,0.061072003,0.2283587,5ZLpX2eQEf4
0.09533834,0.091222204,0.24731427,0.15783142,0.09350968,0.09279997,0.12302319,0.25934902,3YeNfDTRtzE
0.038614396,0.027825072,0.29419687,0.12747605,0.021414623,0.040284947,0.045398522,0.18583953,y6qKV_NPuZY
0.08504468,0.103091404,0.27915928,0.35794434,0.14440465,0.019158829,0.14723328,0.24463142,RYn_9ENS0tk
0.12459128,0.18216681,0.37498462,0.24956106,0.22016436,0.017770508,0.11029377,0.16325623,8BDMon92DMw
0.058735818,0.047678713,0.2655908,0.23670608,0.064588144,0.009718247,0.06285233,0.140264,tqcBCcSLDlo
0.07122008,0.04595245,0.3313235,0.097916976,0.020841789,0.0022039595,0.05427339,0.13465534,WcnCwNETGRo
0.15223533,0.09043341,0.43233383,0.16007039,0.07012551,0.089577995,0.1899958,0.3491887,ECS9mJkYB3E
0.07806862,0.048078768,0.22914124,0.20947203,0.034347907,0.014646785,0.049805142,0.22790845,QJbcaRG35S4
0.13620542,0.1285701,0.3744767,0.13207142,0.15228479,0.15246986,0.1992855,0.61830795,AEd6i4FAs1A
0.06232143,0.061536394,0.2198093,0.18404178,0.026632989,0.016035106,0.047293164,0.11007535,fP8u95WzTuc
0.026464075,0.016956756,0.34521294,0.0932072,0.05855168,0.03599298,0.040332325,0.04220574,Ei9i7DisX8c
0.13687408,0.11530655,0.27592713,0.17930245,0.10003236,0.050242316,0.09393148,0.18092744,5bu-NvYY8LI
0.42802653,0.18293907,0.73715055,0.21576895,0.12746885,0.028439116,0.10028428,0.24990067,rHkLjtM-CwE
0.28910244,0.16860338,0.5453109,0.052962653,0.106989555,0.009093502,0.08392724,0.19369854,HzVceY4OTCQ
0.039118595,0.0427147,0.23867384,0.16218798,0.08946564,0.016243355,0.06370496,0.106428415,WDcdTPyC5g4
0.034089893,0.027277486,0.2691243,0.12362069,0.056739695,0.014160873,0.04453339,0.14525272,7QpoDA8t6yQ
0.19770882,0.110181004,0.5384114,0.13839632,0.06146042,0.010204159,0.07032227,0.15721132,23QEtfBuWGo
0.1212744,0.12280271,0.37121916,0.029511215,0.053501733,0.038053125,0.16811778,0.5331529,fKaIRQ29ZVc
0.13495673,0.13484196,0.3084141,0.045444105,0.16141362,0.03461955,0.19962513,0.43576562,s5zsNsa_rg4
0.057349104,0.10109176,0.22286408,0.18524803,0.12519509,0.03427619,0.11443173,0.50645435,jc_oIDiIPRc
0.105174795,0.11801783,0.25997478,0.058632128,0.1447265,0.019436494,0.20658521,0.27694213,8OK4iNnsyqk
0.13891321,0.09073064,0.24821982,0.13908881,0.050584275,0.013050216,0.0678743,0.1752194,vdNjmiv8HE0
0.14731055,0.15146075,0.2907978,0.112612925,0.101669006,0.015132698,0.11825799,0.24780913,05nA4NMgtKw
0.065990105,0.047986105,0.24068427,0.13134666,0.033758145,0.0070110206,0.033684123,0.11861078,46jkr_8sf7I
0.05038044,0.028678415,0.24699098,0.0035420773,0.054680496,0.033074442,0.074284196,0.080700696,23gT5g4k400
0.03560108,0.02642076,0.30704927,0.040315177,0.024383022,0.022351967,0.08843973,0.08723261,gEvYOOuCEng
0.16339792,0.09152806,0.34830207,0.45636398,0.08290616,0.08367105,0.1257448,0.17217965,pehYeN3WxH8
0.13891321,0.09073064,0.24821982,0.13908881,0.050584275,0.013050216,0.0678743,0.1752194,gQTvtILt3R4
0.073196255,0.08217791,0.3063406,0.09125834,0.08959264,0.024833864,0.16265649,0.20784225,1iSXERpdjNY
0.048437458,0.066259645,0.20963344,0.010923702,0.112874635,0.036508016,0.09981858,0.120109946,D06y-i4Pvf4
0.24630554,0.19098786,0.38235676,0.15148151,0.11230056,0.002950182,0.12068705,0.17388327,rG7lVlISwx0
0.09326576,0.09420812,0.45663747,0.14846699,0.10386927,0.00298489,0.08557255,0.14263228,sA1zp5HbPQ4
0.16433382,0.12476486,0.372526,0.18503924,0.11738937,0.00930175,0.13912416,0.22815704,ckeXvykKe9A
0.13891321,0.09073064,0.24821982,0.13908881,0.050584275,0.013050216,0.0678743,0.1752194,-tti_DMUujg
0.13891321,0.09073064,0.24821982,0.13908881,0.050584275,0.013050216,0.0678743,0.1752194,qxynwswCQug
0.089873776,0.1201225,0.3973845,0.1517318,0.11362684,0.033932835,0.21865365,0.3220904,sFJsXev3eU0
