PERSPECTIVE_THREAT,PERSPECTIVE_FLIRTATION,PERSPECTIVE_SEXUALLY_EXPLICIT,PERSPECTIVE_IDENTITY_ATTACK,PERSPECTIVE_INSULT,PERSPECTIVE_INFLAMMATORY,PERSPECTIVE_TOXICITY,PERSPECTIVE_PROFANITY,video_id
0.07874538,0.37280396,0.06694401,0.052971262,0.201334,0.26908374,0.1539292,0.08118116,eu7Nigp7gHA
0.039670877,0.18040174,0.0294414,0.039871164,0.026448335,0.29551467,0.06532243,0.02229701,ho3Lh24gT6U
0.19327216,0.4242834,0.30656302,0.109860584,0.13839695,0.093769215,0.0495556,0.21679299,jsWwRBFQNHk
0.09382553,0.22617936,0.042936668,0.08424689,0.10852551,0.0012043178,0.28948012,0.090697326,6Cdob36DHQ8
0.23341712,0.30992806,0.33272943,0.26170552,0.43970758,0.09861805,0.038911518,0.6222302,fy88IyovOQI
0.047647223,0.1421045,0.031030277,0.01711357,0.012068262,0.17739935,0.030670939,0.021903075,_a1QERFMtdU
0.07673602,0.3062534,0.046754837,0.1593787,0.16091584,0.09780039,0.08170467,0.09276359,huYeNQnvOk0
0.18876818,0.5933903,0.4127407,0.15453969,0.19690363,0.46961865,0.019575324,0.24606432,4XJgAHg8Cis
0.46601352,0.3870188,0.15925352,0.27257934,0.13694869,0.2424376,0.15859914,0.15369642,Wz0ijT_ohFo
0.6746867,0.23880848,0.083959304,0.26671332,0.12550855,0.2930173,0.25676212,0.1373974,VxKaNdeJ710
0.56852055,0.21437809,0.0453721,0.23721431,0.112929285,0.4565456,0.2406723,0.0975811,utCDdubcjtY
0.75556356,0.24222645,0.062953085,0.4144204,0.15541595,0.441105,0.1539292,0.11818351,9TMyM7BcRmg
0.06346034,0.18470846,0.054962438,0.030450353,0.025744809,0.12790476,0.02792408,0.03765421,uFy2JzE4Iqo
0.41723537,0.26965111,0.1888701,0.6350989,0.22799109,0.13231957,0.02929751,0.2433746,t-It2bGjB_w
0.7760142,0.60759133,0.8777541,0.3251454,0.43954203,0.75058323,0.37954164,0.5241553,QWyBtjqxE2Y
0.5516915,0.716962,0.8777541,0.24487767,0.3654775,0.650376,0.5835036,0.32395864,uVQlMUjOy-s
0.17855589,0.30061787,0.1352621,0.051516425,0.036553625,0.073551156,0.024833864,0.10711737,Np3_6GAQ3rA
0.16610323,0.2862856,0.13161351,0.08606721,0.14229652,0.17685615,0.11794081,0.13761352,2_ftk4ZrfrU
0.0961306,0.41841277,0.068007,0.056105725,0.063662946,0.09023804,0.035477944,0.048001282,c5zNebpR2rc
0.12548837,0.27229214,0.033692587,0.043919425,0.029217428,0.19646373,0.025520578,0.031216614,Hw3eewgInKc
