PERSPECTIVE_INFLAMMATORY,PERSPECTIVE_IDENTITY_ATTACK,PERSPECTIVE_INSULT,PERSPECTIVE_SEXUALLY_EXPLICIT,PERSPECTIVE_TOXICITY,PERSPECTIVE_FLIRTATION,PERSPECTIVE_THREAT,PERSPECTIVE_PROFANITY,video_id
0.31084356,0.06992483,0.060110755,0.041124612,0.124380715,0.3487583,0.08693986,0.03120013,JlHmZBB8_go
0.181438,0.14862645,0.34036106,0.13143742,0.08050597,0.38577145,0.13831416,0.13396984,JcaSR52T2I4
0.26646486,0.0107626915,0.013479342,0.017004266,0.0186035,0.27830634,0.0319431,0.009307626,2sj2iQyBTQs
0.060083702,0.047677495,0.048282616,0.061544042,0.027237365,0.32131553,0.08933961,0.062015325,zFmE-bzBURs
0.2098006,0.119997226,0.13853572,0.22986291,0.0136749605,0.4051041,0.26262483,0.3576388,vjLnUSfBe1I
0.30195493,0.10260706,0.174398,0.10391771,0.13610743,0.4168623,0.1499074,0.09956216,-fspr9IxgPQ
0.2753901,0.14608179,0.17386977,0.31781915,0.28923595,0.47366512,0.22918741,0.24422826,q3-iyOVz2pU
0.23387294,0.10068861,0.09447,0.17632116,0.020130653,0.43127388,0.23204648,0.1959779,9JJWyGlkdqE
0.087399185,0.077524535,0.04356802,0.06884734,0.039598234,0.22111888,0.12188106,0.050892208,kTRmRPAjSdM
0.21015932,0.14358076,0.53138584,0.13420352,0.15246986,0.28840953,0.26093522,0.26057324,t_X78LKgcS8
0.28903338,0.060485687,0.06321615,0.08622679,0.08050597,0.37297374,0.09312052,0.04893821,k4_WMh9oraI
0.037688967,0.021100732,0.02091593,0.054191988,0.033761155,0.34975252,0.049368426,0.019895911,6gmf-VtBVcc
0.12655932,0.10786533,0.2639667,0.15778206,0.4151741,0.48112845,0.2428561,0.13414988,MJls3rluF3c
0.11553634,0.17402007,0.06714582,0.14542791,0.1256687,0.43828434,0.30012295,0.10168281,qBFXpL14EMQ
0.22704424,0.04893122,0.036392145,0.050701488,0.017770508,0.23724186,0.08447285,0.04667054,JSA2Y13S85M
0.37377617,0.0843926,0.08257274,0.05914626,0.15743166,0.24614194,0.08574846,0.064931564,3EV2iE6ESTM
0.14556037,0.05937874,0.037255596,0.04367854,0.033246122,0.21800952,0.0989569,0.032206263,nRjSDKGQw14
0.0084274635,0.11682801,0.12672053,0.19521882,0.003262554,0.4199332,0.18244326,0.17731906,cT3LHnSflR8
0.24864554,0.05435193,0.045385063,0.038719792,0.16344422,0.2541515,0.18975283,0.035828907,koMIE-rrSGc
0.56094974,0.14172134,0.23395611,0.26626822,0.05253629,0.5776207,0.38792697,0.25650534,DugTlTwhv2Q
0.091961786,0.21981841,0.27833053,0.23546514,0.020963646,0.5223158,0.33752632,0.29845533,DDhWlqaA6Js
0.26286894,0.066384345,0.18113284,0.08374362,0.1019289,0.45781296,0.13798614,0.08499821,pWuV6TKazE4
0.5680319,0.14130734,0.17700899,0.22763103,0.24242763,0.50474966,0.25953916,0.15933931,k0qLXNZkGd4
