PERSPECTIVE_IDENTITY_ATTACK,PERSPECTIVE_TOXICITY,PERSPECTIVE_THREAT,PERSPECTIVE_FLIRTATION,PERSPECTIVE_INFLAMMATORY,PERSPECTIVE_SEXUALLY_EXPLICIT,PERSPECTIVE_PROFANITY,PERSPECTIVE_INSULT,video_id
0.055727113,0.03187269,0.1375699,0.39621538,0.12972109,0.12114141,0.071278326,0.040550698,OR3UMT2ZSjY
0.13243559,0.16035037,0.41666284,0.4384972,0.11467354,0.13483323,0.08534897,0.052744247,oou9INxAcA8
0.11712405,0.068918526,0.111103535,0.29022533,0.42546067,0.07768104,0.086761326,0.13188851,cfglyweLjqc
0.033879258,0.016521018,0.123737,0.3578018,0.19574776,0.074035496,0.05028974,0.041107785,8au6UGaO7zs
0.07884617,0.09655894,0.51109475,0.33685416,0.46977755,0.06687114,0.066045105,0.055801332,BQ0LBdheupI
0.12321113,0.031357653,0.278627,0.36187875,0.315204,0.15992644,0.1832763,0.12484404,7xgiSjwlWL8
0.06750302,0.0142302895,0.12651111,0.3553482,0.09911516,0.10178843,0.060954306,0.054376166,tNnl5ol3P2g
0.19386144,0.02637897,0.22450459,0.32999885,0.24733458,0.17364667,0.25939956,0.25359967,DiBqdzs1shY
0.5668285,0.19535941,0.9570354,0.5080509,0.103874266,0.1727669,0.39670566,0.38208085,8Up73bFTsQg
0.045452707,0.04268845,0.1013918,0.2869621,0.15132236,0.033288818,0.044565607,0.09894637,AjPCOim0jgI
0.09134403,0.056931525,0.17126216,0.3154297,0.153849,0.152264,0.13705386,0.08422207,G_aSatgbsM8
0.08477588,0.06252546,0.21018147,0.28948405,0.3497578,0.07863793,0.07248616,0.06329849,H4MvbmSoSw8
0.24345466,0.031529333,0.05725907,0.26389247,0.19354323,0.05122997,0.030500678,0.09338497,HUNeozupEf4
0.07645163,0.10300289,0.044139165,0.25859806,0.43748266,0.025539165,0.023131933,0.12033415,fvXGmwVVQeM
0.0466441,0.020130653,0.08875424,0.37605128,0.14595081,0.07244092,0.03205805,0.06801103,Sq81MXCmcMs
0.0420972,0.024833864,0.11454351,0.28183118,0.14215098,0.09695988,0.07374464,0.052523203,wWvj-6OJRtw
0.026237385,0.06412373,0.118747205,0.32265365,0.20059691,0.02547987,0.018479798,0.034014933,t1TpR53yPHU
0.09554268,0.0045120427,0.04200409,0.20926344,0.15378565,0.026754608,0.027382921,0.03599624,8YI5hGucHSg
0.4643324,0.22982138,0.25751063,0.26316687,0.45820326,0.14305452,0.3139313,0.5768478,jJSKCHNsmfI
0.08073922,0.024662184,0.06774666,0.26002607,0.5680319,0.04315133,0.0380971,0.06553368,MjUNVO2Whkw
0.2527541,0.034962907,0.29096106,0.507186,0.5787513,0.13545524,0.14382976,0.120972686,3sUyFLWT3Y8
0.1372496,0.037881445,0.20515285,0.36695775,0.36682114,0.15085004,0.14067213,0.17133458,mX4KbcGt-Us
0.06259528,0.021380141,0.08637044,0.25228474,0.30039015,0.073850796,0.046640813,0.030103048,8gkwiUcqMzg
0.061135776,0.036851373,0.21032485,0.33986223,0.14591922,0.12905549,0.08817177,0.037779264,Oui5_FnaZBc
0.07151236,0.0069068964,0.08655101,0.35743082,0.30124354,0.13053282,0.08401864,0.07072663,qMED6Y_wCIw
0.0679528,0.090114996,0.13747168,0.31646758,0.43713787,0.13442624,0.09823569,0.06390097,5jPkQc_NXLQ
0.10605045,0.14777246,0.11382432,0.39772356,0.41666612,0.060431488,0.07013307,0.119518206,34CEjFwz6rQ
0.09669477,0.14193995,0.35801956,0.3512637,0.39410278,0.08955486,0.08703307,0.1315319,ik7SxHGA4PY
0.0723865,0.18450552,0.2071748,0.32189885,0.7080126,0.09730608,0.09451836,0.19526574,stTKMtKTVxc
0.16056488,0.1539292,0.2033978,0.35707146,0.08189276,0.07519076,0.07664957,0.111741036,nhjwWyvuKvY
0.09738617,0.004373211,0.32726914,0.40646374,0.02871791,0.12945291,0.12538764,0.12476076,7cIktf7_Izo
0.11737957,0.34388447,0.17393768,0.2662715,0.32667682,0.237796,0.33056113,0.30356362,E0OVMCU8rnA
0.11479513,0.04406188,0.12161731,0.28035873,0.18315889,0.11161671,0.099277355,0.09818709,WAdJAxLAJjE
0.25858876,0.23101798,0.39374778,0.41431776,0.11163572,0.08783992,0.09142495,0.18812537,PR66TN-Mlig
0.009667819,0.0007462225,0.037792426,0.27144253,0.050090596,0.06128881,0.014583197,0.009794482,gnTOecbEy0U
0.12274058,0.052935857,0.18557335,0.42527252,0.439859,0.13995568,0.11137793,0.10227808,ZzvOBHnoyGs
0.2531443,0.22987647,0.6258208,0.6255373,0.07423247,0.19783118,0.13282268,0.11417348,qaqGHxjGleI
0.036073778,0.094410956,0.082589634,0.26338977,0.4469501,0.054399837,0.04575271,0.048158195,5PtbMLA6cfM
0.056854505,0.013813793,0.30890083,0.21679543,0.17859676,0.048736963,0.049888417,0.05506524,wZOR_gsSWeg
0.06726807,0.038911518,0.29043543,0.3717305,0.1768911,0.07233214,0.066512175,0.046650484,j2f2t0VP2iM
