PERSPECTIVE_SEXUALLY_EXPLICIT,PERSPECTIVE_INSULT,PERSPECTIVE_IDENTITY_ATTACK,PERSPECTIVE_INFLAMMATORY,PERSPECTIVE_FLIRTATION,PERSPECTIVE_TOXICITY,PERSPECTIVE_PROFANITY,PERSPECTIVE_THREAT,video_id
0.025946833,0.09585054,0.06074832,0.6005554,0.26533318,0.2712817,0.090360016,0.72045076,HDWO-x_-Oew
0.094117135,0.044516455,0.12701112,0.19631067,0.35998118,0.04406188,0.05548635,0.29453048,0ju3V6IYKM4
0.16403657,0.1195176,0.20642023,0.1891837,0.4646427,0.083939545,0.12395334,0.20385519,evkiJoWU0N4
0.0832318,0.075343676,0.048837814,0.056630004,0.4632339,0.07850813,0.067930505,0.14298746,oYO3WBZPDqQ
0.08163994,0.085550904,0.045227498,0.26343247,0.36322767,0.09548495,0.058309272,0.1357848,eDhGnub97h4
0.13003942,0.08872852,0.07164173,0.13884163,0.42941853,0.23716165,0.0693959,0.17143978,To4DFfXYDlc
0.040689692,0.043763842,0.075863205,0.1908433,0.4325455,0.1473238,0.027991861,0.13663241,yhucShIRTcw
0.06838853,0.05024462,0.041545372,0.2764637,0.34682092,0.13082063,0.045904238,0.09746907,L0BxpbisQBg
0.08108275,0.059048858,0.07124603,0.40218097,0.38230374,0.085282035,0.0765869,0.24921162,tWLlkAhxU5w
0.11384217,0.06681592,0.23845465,0.18567008,0.35111976,0.009232334,0.09672296,0.479746,MPM_KgaXij0
0.05392659,0.10304493,0.10536368,0.16568989,0.44546938,0.16827796,0.04787662,0.15326516,bhG7LwssoNc
0.14519772,0.21324289,0.4478393,0.12381728,0.41450596,0.27045983,0.17464557,0.72062695,yxgVelGoK7c
0.037465505,0.022686956,0.027900089,0.10295766,0.34919038,0.020824814,0.018470457,0.049455937,uhgMZ8w9lb8
0.039337266,0.03995915,0.060411584,0.13260067,0.32619357,0.0358213,0.031290717,0.1640706,XTGHSpgp5mc
0.059660427,0.13661148,0.17814988,0.20430768,0.42836183,0.08689302,0.095338546,0.70846796,L_2GICgTPeo
0.046722833,0.047145676,0.1517635,0.5680319,0.2630718,0.04543531,0.052098386,0.07127019,h90wXPLNUS0
0.041232426,0.02394225,0.028702065,0.13373631,0.22660619,0.016104523,0.03323187,0.1016509,n3viX-IXfi0
0.061072964,0.045616955,0.095329925,0.016620267,0.42851904,0.04131502,0.05146136,0.22146887,s_dp2mBrqr0
0.040940072,0.05081889,0.040465955,0.31261957,0.38735774,0.025863936,0.02458428,0.14301091,xVaToJSLA2Y
0.06432615,0.17311771,0.05621079,0.2786542,0.36789718,0.29045674,0.053247843,0.15011016,tg55yBFBl2s
0.067680426,0.11884921,0.11982694,0.022250745,0.49225485,0.18647896,0.062452003,0.26837847,leTOy75OD5w
0.17314048,0.5653743,0.23672749,0.38492948,0.3975269,0.24991328,0.29350987,0.20961143,A2hoDwuV6Io
0.24477547,0.6356477,0.3129013,0.113036156,0.5128616,0.09548495,0.3077488,0.47182506,jxU0UalndcI
