PERSPECTIVE_INSULT,PERSPECTIVE_SEXUALLY_EXPLICIT,PERSPECTIVE_TOXICITY,PERSPECTIVE_THREAT,PERSPECTIVE_PROFANITY,PERSPECTIVE_INFLAMMATORY,PERSPECTIVE_FLIRTATION,PERSPECTIVE_IDENTITY_ATTACK,video_id
0.121158026,0.21817279,0.029125832,0.13060938,0.17340326,0.051246166,0.43717054,0.084518395,ZX2Hyu5WoFg
0.05761185,0.08734864,0.014855034,0.1200673,0.06020808,0.054305665,0.4145532,0.039013788,kKZFmklDSXs
0.051806156,0.08141905,0.0034881562,0.24079789,0.07583553,0.09785682,0.3671767,0.049650732,Up6KLx3m2ww
0.13683434,0.08815857,0.1423886,0.21948947,0.115466215,0.18904297,0.3408732,0.0722121,PmlRbfSavbI
0.027229298,0.034562606,0.0112454,0.15979521,0.029334337,0.13186793,0.21786952,0.037638906,4nsdARJGzJ0
0.17713162,0.052247457,0.023117077,0.25683853,0.10034785,0.4347631,0.2259285,0.08432769,0yCJMt9Mx9c
0.015882364,0.04814716,0.00153583,0.095651135,0.016459255,0.3629602,0.30394706,0.009107247,vpm8T-JhOjo
0.08037379,0.13949968,0.0055532837,0.36172888,0.10448832,0.032939125,0.50678205,0.08736987,b2q5OFtxm6A
0.44372472,0.13727482,0.28923595,0.15039259,0.16592562,0.5680319,0.3992495,0.14138491,lEkNCOxO84M
0.013192922,0.02300212,0.011175984,0.06926329,0.015080824,0.29015127,0.16036804,0.018567188,mJeNghZXtMo
0.07934537,0.056420717,0.010134743,0.09513391,0.06525928,0.03951567,0.29637575,0.08124395,M9Itm95JzL0
0.033873573,0.04658223,0.0023427915,0.07557561,0.04323046,0.46552458,0.20175971,0.038434003,7ClLKBUvmRk
0.045094974,0.07247672,0.009926494,0.1695159,0.06964523,0.16955484,0.23418996,0.04272734,4UJelID_ICw
0.031532764,0.031157505,0.040284947,0.048314527,0.027236242,0.36396495,0.19157103,0.03447572,59bMh59JQDo
0.04887794,0.08262994,0.06971766,0.41102725,0.07346387,0.21806099,0.31010485,0.062769614,hQyUwF2vaac
0.06092435,0.06607425,0.01492445,0.0884472,0.05471884,0.18207559,0.28650513,0.07743196,pqNCD_5r0IU
0.057943787,0.0882295,0.03204437,0.25534484,0.07293811,0.10165581,0.3714292,0.090732224,IHZwWFHWa-w
0.08228041,0.21529742,0.0012841969,0.35329935,0.13619962,0.26688474,0.41434696,0.18272142,lzGKRSvs5HM
0.08500962,0.13146076,0.01721518,0.35202348,0.1456486,0.04330858,0.2585933,0.09063142,QIUxPv5PJOY
0.020719806,0.13155816,0.015410362,0.1266976,0.084350325,0.08258671,0.24723478,0.035659116,oJNHXPs0XDk
0.018926265,0.023264447,0.012841969,0.039209265,0.016915632,0.22648206,0.16717716,0.018405367,f_uwKZIAeM0
0.094199486,0.07529947,0.014299706,0.22392295,0.07487796,0.061463777,0.3983002,0.05658649,tpCFfeUEGs8
0.05646195,0.08810168,0.016451603,0.27517813,0.06190041,0.06874708,0.4832105,0.05900524,mlE03Fj2T9s
0.045150913,0.048955977,0.0052062036,0.24744967,0.045036662,0.18016784,0.26420042,0.047201354,EYC03cDb1GE
0.022613037,0.017156772,0.014993866,0.06287535,0.013066156,0.2755625,0.16575862,0.021696337,6Hm1pNqQxq0
0.03935928,0.053561334,0.02193547,0.091616884,0.046476923,0.109790914,0.22794606,0.039286412,3bJ7RChxMWQ
0.057558462,0.10164323,0.014993866,0.29697984,0.12807779,0.060207862,0.3156634,0.10773698,het9HFqo1TQ
0.041553307,0.17345019,0.011175984,0.32487854,0.1274656,0.044871576,0.34465712,0.07006297,mNB8NlwhAgg
0.02959958,0.1060193,0.010620655,0.2808443,0.057289034,0.062368944,0.4234581,0.045817472,jV0LpWF6UgY
0.13566287,0.1799297,0.006455692,0.60764974,0.19708711,0.029078152,0.321372,0.33482096,iIkJrwVUl1c
0.045820773,0.050300974,0.11794081,0.0598861,0.041249145,0.38810152,0.23599067,0.034623206,XBSvp43EQhA
0.07258375,0.0908049,0.014022041,0.22510195,0.07740626,0.3074536,0.22423679,0.0665004,GBDSBInvz08
0.08040137,0.09838667,0.1550967,0.22264077,0.07790549,0.19757585,0.27984536,0.06577198,5Qnern0rB_U
