PERSPECTIVE_FLIRTATION,PERSPECTIVE_PROFANITY,PERSPECTIVE_THREAT,PERSPECTIVE_TOXICITY,PERSPECTIVE_INSULT,PERSPECTIVE_SEXUALLY_EXPLICIT,PERSPECTIVE_IDENTITY_ATTACK,PERSPECTIVE_INFLAMMATORY,video_id
0.33289626,0.039274767,0.3743012,0.0136749605,0.056954417,0.029749412,0.1769416,0.059698258,tMgWfmBC4kw
0.18777546,0.03032872,0.077866055,0.0033493242,0.030071555,0.029443631,0.069597214,0.18615696,bWVDgsndC40
0.22018945,0.014294904,0.029874265,0.010481823,0.022237105,0.0199285,0.04856925,0.22433248,IWbA2brcEbg
0.2447975,0.024209568,0.13487935,0.017909339,0.019533072,0.033096984,0.040951043,0.16623946,nKecwmnHC2s
0.1870641,0.0218895,0.043202695,0.001501122,0.017181687,0.027931474,0.032654867,0.11007805,pSIF8T2OQ9c
0.22714165,0.023454605,0.23232733,0.0095794145,0.025892658,0.024090713,0.08611792,0.13100655,pQI8kmS54eQ
0.29663426,0.007358749,0.006302899,0.25219622,0.010530749,0.051741853,0.0075438777,0.4141132,vgrohePMDmg
0.44235852,0.16254246,0.5764376,0.1609341,0.12218762,0.084256515,0.12909113,0.09264278,D1n5FtJumlg
0.31160986,0.1617202,0.7616042,0.1580154,0.20485732,0.095192835,0.26821795,0.6332527,nZK2SSpFygA
0.42494315,0.106676705,0.3641143,0.014160873,0.09702107,0.20753041,0.18657811,0.2778671,nJuaDWPuFTc
0.41804487,0.14122614,0.4450723,0.044748597,0.06501534,0.18442671,0.2146668,0.27566558,OGJMC55t42Q
0.27789342,0.06981109,0.46665147,0.09065199,0.10991462,0.029155627,0.14627376,0.33060876,ZfHVyVvA4m4
