PERSPECTIVE_PROFANITY,PERSPECTIVE_INSULT,PERSPECTIVE_IDENTITY_ATTACK,PERSPECTIVE_THREAT,PERSPECTIVE_SEXUALLY_EXPLICIT,PERSPECTIVE_FLIRTATION,PERSPECTIVE_TOXICITY,PERSPECTIVE_INFLAMMATORY,video_id
0.062438227,0.06588187,0.05756819,0.17054541,0.063168675,0.27578256,0.037023053,0.09962233,21uOgV0Klzk
0.071332306,0.066174485,0.0585221,0.40696523,0.043382652,0.2671245,0.0129808,0.383853,Tng_q1yZFgU
0.09752644,0.11851208,0.18465865,0.5857376,0.060146946,0.30390197,0.1250247,0.6601987,bMQCBFwI7O0
0.21522953,0.2576881,0.3359156,0.9126347,0.052788276,0.37702942,0.15684792,0.30958217,-7Y9sgbFja4
0.1626631,0.22690767,0.3086423,0.61567634,0.1280099,0.3150747,0.3063832,0.80792975,n9YsQeUp1qY
0.13468432,0.15855677,0.2761418,0.25913364,0.07468559,0.4225351,0.14508054,0.014409656,2FhIbyKJpaQ
0.30140445,0.39677495,0.6074887,0.8869115,0.13458647,0.49730948,0.14508054,0.042872887,xPqQy_sxhbQ
0.044180356,0.04520778,0.09886551,0.17978477,0.039681636,0.32654795,0.10031791,0.117778875,cZ1E7Kv4KvY
0.026181245,0.026458178,0.06075642,0.05711335,0.036912594,0.21984003,0.013813793,0.11582795,g1wdSjc4dis
0.035026003,0.07240993,0.04199146,0.43419027,0.016333988,0.24785373,0.10634898,0.43759188,ORPH-nzpm1g
0.1107615,0.08781255,0.07505319,0.6076959,0.08232981,0.26248407,0.02124131,0.119756244,PWCjPaJLY5I
0.013794533,0.011267024,0.010326895,0.030050896,0.020559432,0.17808308,0.0121478075,0.2903358,kOCxS0btDXw
0.06338757,0.076763295,0.037058555,0.4156737,0.02875115,0.2890545,0.03616466,0.272481,WTXJkTGu7o8
0.052441116,0.045184754,0.040561005,0.09270277,0.06154623,0.24555519,0.031357653,0.07741625,IzXIov983ME
0.1524306,0.1195171,0.12371382,0.70200473,0.074487574,0.19563259,0.2945986,0.4403267,eAI4G8vqUCE
0.17388484,0.19568047,0.11840556,0.6207038,0.09461093,0.2576466,0.19338597,0.31438094,pN9nE48XKBw
0.13305917,0.048979856,0.053292364,0.30030373,0.15893121,0.45826584,0.040284947,0.31564665,J4EJechgkJY
0.29180917,0.3153239,0.4380897,0.9141717,0.19450025,0.5140871,0.18746567,0.006485264,YkzlsOnbCvA
0.008725982,0.011366967,0.01148272,0.02538208,0.03767179,0.32461354,0.015549194,0.08715418,rEa0kO1QuK4
0.07611508,0.056898646,0.12913784,0.16424549,0.059415344,0.38671592,0.046122026,0.11106449,Qsiq87InDE8
0.27794096,0.39651877,0.19414636,0.2570593,0.2675538,0.5156839,0.5035055,0.5136349,aVy_HSAT4S8
0.15814172,0.24713388,0.38586596,0.8842336,0.12602212,0.4856163,0.17587385,0.03409072,oZjrbADEc5g
0.24951716,0.23130661,0.39805853,0.49391317,0.1704213,0.3144526,0.37083253,0.75629383,xd1pXw1DmsA
0.15862769,0.15939493,0.26237857,0.79300624,0.038498595,0.28469342,0.1464265,0.14804333,ULlGqrBHhsk
