PERSPECTIVE_INSULT,PERSPECTIVE_FLIRTATION,PERSPECTIVE_IDENTITY_ATTACK,PERSPECTIVE_THREAT,PERSPECTIVE_TOXICITY,PERSPECTIVE_SEXUALLY_EXPLICIT,PERSPECTIVE_PROFANITY,PERSPECTIVE_INFLAMMATORY,video_id
0.067209005,0.30394706,0.118805386,0.17508487,0.08850401,0.04089335,0.0597469,0.2644424,gKQ_2jbgJIs
0.11082476,0.2639569,0.15558976,0.1684444,0.13521013,0.063657865,0.09760187,0.5299244,zEDM9pDY08g
0.005391779,0.27206823,0.00421664,0.04247201,0.00614332,0.07362059,0.008026082,0.097123295,JeSttW7grrg
0.044661317,0.3102508,0.061228834,0.309365,0.065721996,0.06774049,0.050995126,0.18499503,iE2NJscLjuY
0.07638123,0.24389736,0.095112115,0.26182005,0.16551583,0.10362681,0.09933724,0.4139432,U8950hcKZXw
0.10987085,0.36932957,0.07646574,0.2623847,0.24991328,0.06033453,0.09546061,0.13847126,0vngXAlVVbI
0.01556952,0.3126526,0.03450664,0.09010743,0.008503466,0.053240065,0.0324946,0.02382746,MiqTsR4zyYQ
0.08268337,0.49592668,0.11783502,0.3833224,0.101391904,0.135896,0.082708724,0.25458267,pJpqv3U1l7w
0.0939847,0.47856247,0.1119482,0.1538268,0.12180476,0.06321392,0.066322155,0.1462495,bUxqgDV2osY
0.06280015,0.31725585,0.1353831,0.19265385,0.03856816,0.10232338,0.07839333,0.11841629,4e-CxHOf424
0.076415844,0.30181134,0.11327652,0.13405475,0.087430015,0.07306313,0.101397835,0.013564287,C3E-26oVIIs
0.124873936,0.25762892,0.10634431,0.085973136,0.060927194,0.0469257,0.06456013,0.053854134,bxKcjjIOQRY
0.0646952,0.26849294,0.09212072,0.07729549,0.11085691,0.03917899,0.042970117,0.1275845,o16DZZwrsE8
0.09651683,0.3392296,0.12544237,0.215127,0.22981352,0.07884325,0.09660943,0.12131029,u0yNLAQwjhA
0.24834767,0.349282,0.17585352,0.25740153,0.024318827,0.28650832,0.31277445,0.12909509,JPV4LgbjGd4
0.057853132,0.3051017,0.15262553,0.17008105,0.0765103,0.03349953,0.043599863,0.07461089,347LgFQj19o
0.46104908,0.19488312,0.16591357,0.13837436,0.27856,0.038944826,0.11990776,0.290447,lb6lI1t2IR0
0.07898317,0.4601237,0.12579745,0.23673268,0.013883209,0.049823545,0.047383655,0.014335287,zRnS7TnPeH8
0.06725281,0.2788268,0.14604,0.20599663,0.078108564,0.056237023,0.069857284,0.12499331,O20JFtHs2ss
0.11767974,0.41515836,0.15468474,0.534341,0.2712817,0.11025047,0.12636146,0.4887378,dY8J-gs9f6k
0.135033,0.3075259,0.13005906,0.09485956,0.13835071,0.05001456,0.080394976,0.0050361874,Fr8UK1xmEas
