PERSPECTIVE_SEXUALLY_EXPLICIT,PERSPECTIVE_INSULT,PERSPECTIVE_THREAT,PERSPECTIVE_INFLAMMATORY,PERSPECTIVE_FLIRTATION,PERSPECTIVE_IDENTITY_ATTACK,PERSPECTIVE_TOXICITY,PERSPECTIVE_PROFANITY,video_id
0.1097891,0.0376674,0.07449712,0.04546189,0.35278532,0.0385127,0.089041,0.062569596,uO2UMEKlBTo
0.080839716,0.045315605,0.124767505,0.049662158,0.33795607,0.056375727,0.029812546,0.049843717,M6VjjM4nMLo
0.08900119,0.040829677,0.2883942,0.04643854,0.32710245,0.044962574,0.08689302,0.059628475,r7gKGvjfyHg
0.09425064,0.056304354,0.14459275,0.09927374,0.3517623,0.054319754,0.045091953,0.07613267,glxrwC9zsHY
0.1370535,0.31559902,0.56997395,0.38988447,0.50411665,0.14429028,0.36944604,0.12620391,PvUdEKEJBnU
0.15761453,0.16665621,0.67799044,0.1130332,0.3778082,0.2875174,0.0729142,0.16847685,YHx_mah4Xhs
0.18780452,0.23516144,0.8763936,0.32668936,0.34395295,0.59401745,0.12309273,0.2628932,R8oZk2wnpY0
0.53977585,0.34804702,0.43505806,0.11919286,0.66948444,0.18873754,0.29558796,0.4648807,ohgLmY19jNg
0.09194231,0.030152416,0.102345996,0.121677965,0.24496904,0.046010833,0.2286382,0.058662668,lno9GbdrVh4
0.05693186,0.06581672,0.17693645,0.1211434,0.27781433,0.048340548,0.058130227,0.050208546,NFr-3aAb2Gg
0.12222879,0.16599834,0.7597562,0.14888789,0.3495592,0.1555929,0.14104263,0.20875157,yxjbxsX7y_E
0.067434445,0.021051455,0.08324786,0.07047666,0.39517412,0.023041595,0.089041,0.031004295,Ta8_ASDu9yk
0.055485506,0.089712285,0.23961481,0.040270425,0.2834744,0.08411482,0.020269485,0.056034196,1919eTCoESo
0.110658236,0.02992707,0.08411832,0.07860224,0.32365984,0.035902526,0.06532243,0.04658433,EfJ4aB_enVE
0.38584927,0.5664072,0.6180101,0.24572848,0.40683976,0.28385958,0.5026305,0.4754863,rptV4dEJUx4
0.08619927,0.045528654,0.10076501,0.1948814,0.3280864,0.050941948,0.119872786,0.062435538,svdPTfOpAyQ
0.16037415,0.04454024,0.31173652,0.16893591,0.3460478,0.05287815,0.04406188,0.10944222,t9gaMVgKkgs
0.09414293,0.059232935,0.13186799,0.09927374,0.33179182,0.05075608,0.035649624,0.07615439,KFcUwNl7eXo
0.103287816,0.061337292,0.34419897,0.14592324,0.39610785,0.06193377,0.02193547,0.07307099,YSqdzrmJAlw
0.104113504,0.082357936,0.28940997,0.10368176,0.49484286,0.056970175,0.013050216,0.090565786,DHD1-2P94DI
0.064126715,0.088536404,0.3697497,0.04190654,0.46532163,0.05187132,0.03839648,0.0840333,QDUklXQJ_6E
0.12878259,0.06529567,0.3082867,0.11670621,0.36546123,0.09451673,0.020408317,0.13389301,cO7iMCci904
0.06685749,0.03638792,0.28265086,0.0746992,0.25433746,0.0498593,0.03753809,0.05629383,XgI_p8bKg78
0.1357043,0.1189133,0.21467124,0.27528194,0.34446818,0.094919495,0.07251463,0.103763774,hxjKZcOT17E
0.059891224,0.1254366,0.07825647,0.3508445,0.36312002,0.06319216,0.17380224,0.055885546,mPc_Z7SuvPc
0.06999413,0.034668542,0.24817398,0.052043,0.2939962,0.046071853,0.051737156,0.054129917,AvWVYgzH_f4
0.12626961,0.038654108,0.09027876,0.05853974,0.35602248,0.03338371,0.0471521,0.06264341,rK_tmffSghQ
0.081512675,0.08512616,0.2970873,0.026354188,0.34511897,0.08756102,0.024833864,0.10069336,i27K2ry9jEo
0.11682975,0.056333482,0.20069574,0.076743,0.3115195,0.08242977,0.064523295,0.113700844,Gn2EWxH7ME8
0.15892294,0.1081514,0.48475373,0.079318576,0.3224569,0.14027189,0.03187269,0.15925704,wGS_lTcBHhw
0.09414286,0.059232935,0.13186793,0.09927372,0.33179182,0.050756026,0.035649624,0.07615435,53B40Aw0k3g
0.15526852,0.12910198,0.22473043,0.1048391,0.37742105,0.116550006,0.13017663,0.13576588,3p8EBPVZ2Iw
0.06841092,0.043041267,0.086170115,0.14018248,0.20614354,0.04847489,0.11085691,0.056092814,vkKCVCZe474
0.07150672,0.08427825,0.49283543,0.022192042,0.4141602,0.15744202,0.009857078,0.07056481,dJlFmxiL11s
0.083214104,0.10580691,0.13463242,0.098039635,0.37852633,0.06930271,0.047495455,0.11824018,Jx5VKHQgWMY
0.06678683,0.070803784,0.41191146,0.11083085,0.30932543,0.0727169,0.06132676,0.07290544,5i8y-_cbwgw
0.12289968,0.08983754,0.10248583,0.07690493,0.28785393,0.073515505,0.043375164,0.09495806,N9rQIk9puXI
0.08666633,0.4847677,0.24995449,0.18200722,0.34020936,0.19986233,0.3123962,0.18871915,FXloHGTJ_k0
0.23666987,0.13346693,0.36820605,0.074857496,0.5760794,0.14941758,0.1256687,0.15765595,xF4_1h-WUq8
0.15306106,0.09630756,0.15792617,0.0948947,0.39119965,0.080911085,0.1024659,0.11067887,JLdSuFF62AI
0.051350605,0.029576927,0.24780561,0.08045053,0.24206057,0.044981174,0.023288755,0.042985633,5cMYysFl4CY
0.4900194,0.20237328,0.59517455,0.18166888,0.5256481,0.24324465,0.23452865,0.30448845,V4sWpLJcQoU
0.24607465,0.10526811,0.46451807,0.11875172,0.4773763,0.14346568,0.104076885,0.15980718,urBJkOFnKVc
0.120066635,0.103311986,0.15749279,0.1798911,0.3863636,0.0820943,0.101391904,0.10326676,-I9Rp0HMatM
0.09212155,0.030883258,0.09947315,0.04863027,0.34578022,0.034094,0.14956708,0.048966516,MznqHWzCv8s
0.068104506,0.042296488,0.2742105,0.0257496,0.21896686,0.05786652,0.01631277,0.05840795,huqPu2epmcw
0.20462391,0.032125596,0.1360744,0.07212427,0.3456093,0.0564382,0.048868883,0.12363827,z2ggDhOqLsk
0.18862247,0.13426302,0.268901,0.03415875,0.40109283,0.16747092,0.06132676,0.16064993,vt-9sMWqUsc
0.11976135,0.049931206,0.13510352,0.15322983,0.27273655,0.06552357,0.07091636,0.08257479,31O70ckvY3c
0.102025665,0.055242516,0.09957611,0.12662204,0.4326195,0.054531492,0.119872786,0.06930674,3M3W5VCsuCY
0.08737885,0.028348694,0.09721952,0.102216095,0.24153769,0.041331396,0.01721518,0.055637136,xZaSVMB2yy0
0.06600682,0.037398245,0.037442654,0.11853783,0.22475015,0.050237536,0.016104523,0.039872546,2RrGnjxSsiA
