PERSPECTIVE_SEXUALLY_EXPLICIT,PERSPECTIVE_IDENTITY_ATTACK,PERSPECTIVE_TOXICITY,PERSPECTIVE_PROFANITY,PERSPECTIVE_THREAT,PERSPECTIVE_INFLAMMATORY,PERSPECTIVE_FLIRTATION,PERSPECTIVE_INSULT,video_id
0.054108743,0.07520712,0.06012806,0.029873786,0.04683887,0.1308762,0.34134823,0.10341624,c1RVYA-gwzk
0.11749728,0.49226937,0.22069082,0.18414491,0.35449755,0.37259692,0.50203514,0.23253007,Dq34aCsoKpc
0.13691169,0.33681178,0.25447917,0.20773406,0.24571651,0.29127875,0.35487682,0.2870521,PgrcSra5-3A
0.11441372,0.27762708,0.1530536,0.15328558,0.3138332,0.20249882,0.40723735,0.19876719,-A-TvFFlJCY
0.04418115,0.314173,0.30337667,0.14722875,0.27309117,0.00022966947,0.34661767,0.49466404,tpdgpezQAw8
0.07918909,0.41441584,0.070516795,0.17191681,0.15797824,0.016686989,0.39642248,0.36981994,kAYX5uj7z-g
0.085513584,0.13703533,0.04818217,0.16606767,0.08271577,0.23543212,0.20531175,0.2503724,5JYfnQrDizA
0.10789856,0.28910908,0.1539292,0.22354741,0.14725952,0.1613319,0.39178023,0.36723807,4LstfJs962Q
0.17068174,0.32551834,0.12309273,0.21272185,0.5249194,0.083332084,0.34119835,0.22444429,p_LAt6nK4N4
0.12533955,0.23796508,0.21109697,0.13888732,0.37987635,0.122091025,0.36371064,0.16392535,oXcNts4Qhpw
0.18822595,0.34219792,0.21804169,0.42677,0.27009583,0.20150991,0.22408155,0.4435781,O60XM25pKOM
0.13236535,0.40007266,0.05852979,0.20128344,0.52737564,0.075824864,0.33447585,0.2803898,kr0Yy810Pow
0.12791124,0.58523935,0.30788645,0.268691,0.46741408,0.4471972,0.34925956,0.43819195,MhYXiKjjo-s
0.08359348,0.31592792,0.22982138,0.14469431,0.13109812,0.44464222,0.28099978,0.30761963,o4ILJxpbmKw
0.14845581,0.17481022,0.1256687,0.09977597,0.07562106,0.13673367,0.3792732,0.25898197,lKn4xo2zHpM
0.12159091,0.3636249,0.14014533,0.17850167,0.49464867,0.15783082,0.35493982,0.23182675,JFQGMZKZCV8
0.18252851,0.7239322,0.34388447,0.53481555,0.81553006,0.13671646,0.3811444,0.734651,YRLOdHWnVPw
0.2547554,0.39252508,0.16344422,0.49865147,0.28876075,0.2784678,0.25342256,0.4801169,J02lwdCs15M
0.08749988,0.37985334,0.027237365,0.11525168,0.6674491,0.33687174,0.34451908,0.1499669,7j9bYy6_SMk
0.14574611,0.29620495,0.22990009,0.14441876,0.14885595,0.46026325,0.32361943,0.2392249,hL4lPh_fj4o
0.121844865,0.2397225,0.2008281,0.15703017,0.44329992,0.003297282,0.39203703,0.2045086,6kLc_qrppMk
0.20477013,0.31946227,0.0495556,0.29596063,0.2555839,0.18879896,0.34934017,0.43014726,jlo3FJEkrv8
0.07639906,0.2706592,0.09279997,0.14394681,0.33684555,0.23046131,0.33239773,0.2500228,IeAaB8PCqiY
0.11768516,0.5050282,0.18055865,0.23564719,0.61818975,0.03240755,0.34703198,0.44455156,sWWtN8_C7vE
0.25666165,0.475337,0.13476147,0.35262847,0.16433512,0.09548784,0.40222457,0.5115547,8u0J2d553zY
0.13497671,0.30988422,0.06012806,0.1896247,0.47412115,0.01291249,0.34483975,0.19358252,SqAQv88jw8E
0.2400448,0.3107728,0.021518974,0.27342,0.33674204,0.092903234,0.42210773,0.30414084,zehgeEDJV0U
0.08540226,0.2054389,0.13835071,0.11442695,0.1439822,0.007485875,0.326597,0.19352296,UuNsAFg8fWg
0.19257002,0.59262615,0.17759849,0.35047483,0.5535205,0.005598516,0.40184087,0.46547934,JGK5gi_mwYw
