PERSPECTIVE_INFLAMMATORY,PERSPECTIVE_PROFANITY,PERSPECTIVE_IDENTITY_ATTACK,PERSPECTIVE_THREAT,PERSPECTIVE_INSULT,PERSPECTIVE_FLIRTATION,PERSPECTIVE_TOXICITY,PERSPECTIVE_SEXUALLY_EXPLICIT,video_id
0.011464654,0.13729465,0.21274215,0.4663402,0.14513578,0.49983135,0.052935857,0.119365364,qX2tXKG5fjM
0.0016275906,0.061712105,0.10005265,0.38821083,0.052196406,0.49902716,0.07970683,0.080283865,KJoPaFySLbg
0.10426938,0.09723054,0.0742202,0.2263877,0.05612478,0.519466,0.025863936,0.13440317,dDgB6abFt_U
0.020426318,0.10559971,0.07290659,0.3399235,0.077973425,0.36478856,0.038224805,0.098103724,YUvKu473jhc
0.012078631,0.039666433,0.03242543,0.065110534,0.029435087,0.22894171,0.00999591,0.055837784,2cKn9sE1Ubc
0.058791593,0.06268474,0.19260207,0.19273202,0.084451534,0.29732457,0.0067333565,0.048654236,YvbDttkQYVU
0.08851527,0.023426343,0.013694151,0.047104932,0.013863264,0.28466973,0.20669603,0.041802123,EOoSRP5eisE
0.024239246,0.051587466,0.06140792,0.1107317,0.054163925,0.37424925,0.010412407,0.05540607,tWYm5ka6RJE
0.0021259177,0.16040371,0.13571627,0.33470985,0.122781575,0.371059,0.031357653,0.10734742,79aZtZDER9s
0.036316026,0.068647765,0.057611976,0.1577511,0.062457833,0.35168597,0.02124131,0.10075752,EubObD0k-5g
0.3034407,0.29768074,0.30150956,0.40245658,0.20165011,0.33123964,0.085282035,0.17031218,h4nCIdyoVcg
0.007999081,0.08091179,0.115521185,0.32259923,0.045697693,0.3987792,0.077709,0.09194671,mPE5oCxXXWM
0.3407407,0.124250874,0.121294536,0.25062972,0.12963104,0.35812497,0.09978092,0.11596652,RftlXQvYe14
0.0851448,0.034905434,0.03477895,0.10714396,0.024604635,0.30752334,0.062925026,0.062109366,XfwDJ0K4mCs
0.0025626377,0.09557636,0.07574748,0.21934624,0.058356352,0.34740365,0.062125895,0.13063537,rQHKmUWXoHQ
0.19677263,0.18743862,0.3919922,0.59906745,0.19757298,0.575957,0.010828903,0.27091178,UZ4pQKWK6rk
0.00917423,0.034414012,0.056618195,0.18054374,0.03133944,0.39943498,0.06532243,0.07164368,hnP0GaINsvg
0.0954365,0.30704,0.39275387,0.49929935,0.32507113,0.53606045,0.20009461,0.18366882,OB5Es1Zsw4g
0.17855582,0.03843828,0.10599844,0.1593019,0.048087224,0.2563886,0.01999182,0.038266413,0pipmGRNjo0
0.06914695,0.052822728,0.035749324,0.15466039,0.031536642,0.300743,0.023803791,0.06918127,xUo9VEMtqpw
0.09625658,0.120041974,0.08846901,0.24365641,0.063209884,0.3804269,0.1621016,0.10746187,ShsfdhChUVM
0.09311863,0.045956463,0.083002016,0.27515137,0.05968711,0.37886906,0.014022041,0.053531602,fqX0yuawLn4
0.0261749,0.011542754,0.013759333,0.036695313,0.014215546,0.25918418,0.025005542,0.018527843,FDv2-SOAZCA
0.012047125,0.07329295,0.093715325,0.21855009,0.066766985,0.3945866,1.50491815e-05,0.09076186,tcSisTLWQ30
0.022393618,0.10862327,0.091145165,0.1715795,0.049583893,0.49878356,0.014993866,0.16943775,ojh6I31j6DQ
0.09689021,0.04255091,0.0293115,0.07689374,0.057436254,0.42267033,0.00033840322,0.068937145,ierd9wa85XE
0.026254116,0.16183531,0.18627335,0.48532394,0.15365751,0.5855328,0.039254878,0.22111,6faWAyBAXkw
0.025066668,0.02687647,0.030810446,0.16247709,0.033653907,0.25399512,0.038911518,0.026869925,hUouw85QrXo
0.0014558203,0.078257896,0.08035403,0.13359438,0.08827119,0.33468282,0.0069068964,0.08880257,6M2SenenBRQ
0.024958158,0.091425925,0.10756965,0.33867657,0.082907416,0.49183103,0.04165838,0.1427031,CBo7ieZhvx0
0.0012373482,0.18577582,0.21104744,0.517847,0.16297174,0.45651937,0.09387396,0.23577319,k1KzjTrj5A8
0.259286,0.08384948,0.14288712,0.29411486,0.050872996,0.23857899,0.1414913,0.05220202,QuJ4N3KJPTA
0.06465993,0.12576462,0.06960628,0.22045484,0.056642406,0.34272236,0.089041,0.11879293,m4rVtV-Y5gY
