PERSPECTIVE_FLIRTATION,PERSPECTIVE_TOXICITY,PERSPECTIVE_IDENTITY_ATTACK,PERSPECTIVE_PROFANITY,PERSPECTIVE_INSULT,PERSPECTIVE_THREAT,PERSPECTIVE_INFLAMMATORY,PERSPECTIVE_SEXUALLY_EXPLICIT,video_id
0.5797108,0.27690583,0.44667882,0.24486034,0.22815879,0.31061858,0.6954454,0.4456558,OvPrhQ_0GfM
0.3684517,0.09333697,0.1380555,0.12756822,0.1465213,0.43120193,0.27090296,0.122979365,_VJG91FQpJ4
0.3911138,0.119228795,0.068086386,0.13107312,0.16183124,0.23869455,0.32419255,0.16017765,1Cylk43dcVs
0.33063826,0.056931525,0.17898585,0.086261705,0.10361,0.3016377,0.060329042,0.06124211,yA4NgY3T6fA
0.41318196,0.31693128,0.13899843,0.2821141,0.660731,0.15523449,0.8086994,0.12354448,qUxkONMfW6U
0.33450752,0.026035614,0.046538904,0.048880745,0.03897404,0.10651206,0.44943848,0.084362455,kgp_4ThZ7BE
0.34373438,0.14418322,0.08681417,0.048819393,0.071150996,0.12755086,0.7079002,0.10652036,trB06rINhKI
0.3310455,0.045778666,0.026285332,0.023878891,0.031254303,0.08275221,0.5578596,0.035775103,Hs7UZ5y4L_8
0.4474456,0.0741129,0.193267,0.084051475,0.11217833,0.56646085,0.27383912,0.056334898,dz9oI7ugqRQ
0.29071814,0.04268845,0.104545526,0.044986933,0.08040548,0.228605,0.3080821,0.040759794,8XsaFuEXRV4
0.35759756,0.2022951,0.16187234,0.057559077,0.082356915,0.34381968,0.16612408,0.038210724,GtSQvYlLweM
0.27426815,0.12953265,0.07365549,0.06921091,0.047725134,0.3355922,0.05953994,0.07641144,-4vb6UWhf3o
0.26000404,0.15626417,0.06240446,0.040589318,0.04549768,0.06142385,0.28040388,0.061215896,utNYSivVlJ4
0.3813662,0.08689302,0.19126838,0.091645144,0.10671373,0.36030975,0.08775945,0.07142866,agrl6P5mWT8
0.5340251,0.1019289,0.29035133,0.231498,0.20197904,0.2842742,0.42015785,0.39397395,wYDMTCqZ0XU
0.3544434,0.10763696,0.17308173,0.06326579,0.064224765,0.40476352,0.3409147,0.06974306,isucCrzOh3M
0.2997489,0.16035037,0.23922539,0.16444673,0.19029301,0.701254,0.30041716,0.07973101,IvCDqvthiCo
0.3847247,0.044748597,0.043750122,0.026690796,0.077578366,0.11878963,0.5472373,0.03419492,d-IZwugU6NE
0.28199336,0.055732824,0.083757736,0.05703961,0.070934676,0.25321525,0.3564495,0.06375546,PkvDJm_4Pjo
0.24193782,0.03444787,0.085059576,0.04792387,0.18875434,0.08171221,0.18336275,0.023927981,uhibVl0m8FM
0.499094,0.094410956,0.39288005,0.1583259,0.2933005,0.42129406,0.035190243,0.10503832,G-WCG_T9-bo
0.3419022,0.5958905,0.47387695,0.55967796,0.8453147,0.21155064,0.6283709,0.19801901,J0yqUUTiYLI
0.41796026,0.0495556,0.22609322,0.11113382,0.14815168,0.35871378,0.07547291,0.1002233,VH9ukM11INY
0.4777341,0.17661177,0.38937715,0.1143045,0.3038829,0.5052996,0.41048032,0.12686813,4txKoYKYvHY
0.30409688,0.26132804,0.20190182,0.10654928,0.30754945,0.4873727,0.23244111,0.077396765,WiM_VlEnFpw
0.31943384,0.010134743,0.095503636,0.15981996,0.13169469,0.12988864,0.17679305,0.14081772,6LFnQ56U7Jo
0.1803351,0.0495556,0.11289431,0.048935793,0.049364142,0.11047387,0.2855727,0.049267333,-J5rtcJlmz4
0.2387403,0.048868883,0.08628223,0.04650232,0.03269511,0.22750266,0.15083303,0.05395966,nsF1HczPhxE
0.37031206,0.13835071,0.302576,0.14430667,0.13595001,0.5514379,0.26259494,0.13515857,tpRVWeMsoaE
0.45330065,0.1250247,0.05416946,0.051624656,0.035799924,0.3864741,0.0053758537,0.11728973,hcKWSqDbxUM
0.31276837,0.13745339,0.13069026,0.13414389,0.12488273,0.14100952,0.5391795,0.18022853,bRp_W-VGw5s
0.42630622,0.10515087,0.060822878,0.09421506,0.080347545,0.31846717,0.16988437,0.13502702,indnwMwNF6w
0.5437945,0.1473238,0.15462503,0.12518889,0.23490962,0.09390283,0.066153236,0.11928586,lbZAJLeastk
0.38488713,0.029469188,0.090937465,0.06688475,0.043572433,0.38750154,0.08917978,0.11225088,3cNmMygIcX0
0.36058053,0.040971663,0.11221548,0.10664532,0.10570114,0.14400172,0.15806209,0.121577635,vwV-rqMmQtE
0.23958892,0.14822112,0.07088395,0.09434506,0.08390608,0.11792267,0.4464556,0.084496744,QMb6f9EeBWs
0.20677951,0.25676212,0.030883295,0.03360652,0.024451694,0.073470026,0.47097048,0.035330612,dPKkBk_xpbs
0.34447798,0.09387396,0.27285507,0.07717962,0.1250403,0.20590824,0.20093788,0.04102628,ZwfOZB9IWx0
0.38481253,0.094410956,0.19716364,0.16380262,0.18381156,0.26982793,0.5990859,0.13584352,uul5qjtDzEk
0.32864824,0.09816993,0.24987052,0.10369872,0.1366517,0.30403993,0.23659776,0.058723383,KPSu-Jolq4Y
0.28173026,0.10515087,0.49910107,0.116286315,0.118625045,0.7602723,0.14444652,0.07866183,9R5TvLCsN-E
0.31299892,0.018881164,0.2141806,0.13410896,0.2310364,0.16365118,0.04047267,0.103515625,M-0pk1MuWao
0.49288538,0.012841969,0.58523935,0.26055092,0.36999393,0.8763936,0.18980129,0.25839722,0tCYt4VteJU
0.46984407,0.015549194,0.11804866,0.14385511,0.11958224,0.12351911,0.18271092,0.22710514,7LsYUfWL1Do
0.62947893,0.07850813,0.37456182,0.4344087,0.37156412,0.4917231,0.12573755,0.35888338,Y27t-yWgjGk
0.45621568,0.077709,0.15348479,0.07320182,0.12119472,0.2880573,0.1024223,0.08769615,9YP5LBhiwL4
0.44006008,0.23891698,0.2724854,0.32965046,0.29111326,0.4275097,0.5253144,0.25275728,GArWVPo-86s
